Parameter S1 S1_conf ST ST_conf
M_ala_L_c_exchange_reverse -0.001997 0.015247 0.003478 0.000600
M_arg_L_c_exchange_reverse -0.000670 0.006510 0.000661 0.000139
M_asn_L_c_exchange_reverse 0.001937 0.008087 0.000947 0.000136
M_asp_L_c_exchange_reverse -0.005827 0.035663 0.019387 0.002494
M_cys_L_c_exchange_reverse 0.002179 0.008327 0.001054 0.000131
M_glu_L_c_exchange_reverse 0.035508 0.067129 0.075276 0.010179
M_gln_L_c_exchange_reverse 0.035094 0.063080 0.065475 0.008361
M_gly_L_c_exchange_reverse 0.000055 0.005202 0.000435 0.000123
M_ile_L_c_exchange_reverse 0.004643 0.009929 0.001642 0.000386
M_leu_L_c_exchange_reverse -0.001921 0.010412 0.001855 0.000913
M_his_L_c_exchange_reverse 0.012106 0.041697 0.026347 0.002367
M_lys_L_c_exchange_reverse 0.006245 0.022846 0.008442 0.001377
M_met_L_c_exchange_reverse -0.000390 0.004049 0.000246 0.000056
M_phe_L_c_exchange_reverse 0.145227 0.096346 0.155171 0.012480
M_pro_L_c_exchange_reverse 0.003134 0.007997 0.000984 0.000240
M_ser_L_c_exchange_reverse 0.004129 0.030853 0.014281 0.001769
M_thr_L_c_exchange_reverse 0.000219 0.014893 0.003390 0.000694
M_trp_L_c_exchange_reverse 0.002377 0.016446 0.004430 0.000613
M_tyr_L_c_exchange_reverse 0.022424 0.045412 0.032094 0.003631
M_val_L_c_exchange_reverse 0.009485 0.035880 0.020246 0.002819
M_glc_D_c_exchange_reverse 0.470844 0.179966 0.554675 0.039124
M_o2_c_exchange_reverse -0.003492 0.007568 0.000807 0.000752
translation_initiation 0.164125 0.078288 0.182656 0.037563
transcriptional_initiation 0.000000 0.000000 0.000000 0.000000

Parameter_1 Parameter_2 S2 S2_conf
M_ala_L_c_exchange_reverse M_arg_L_c_exchange_reverse 0.009517 0.024459
M_ala_L_c_exchange_reverse M_asn_L_c_exchange_reverse 0.009577 0.024454
M_ala_L_c_exchange_reverse M_asp_L_c_exchange_reverse 0.009853 0.024275
M_ala_L_c_exchange_reverse M_cys_L_c_exchange_reverse 0.009510 0.024460
M_ala_L_c_exchange_reverse M_glu_L_c_exchange_reverse 0.009526 0.024404
M_ala_L_c_exchange_reverse M_gln_L_c_exchange_reverse 0.009220 0.024340
M_ala_L_c_exchange_reverse M_gly_L_c_exchange_reverse 0.009562 0.024458
M_ala_L_c_exchange_reverse M_ile_L_c_exchange_reverse 0.009500 0.024475
M_ala_L_c_exchange_reverse M_leu_L_c_exchange_reverse 0.009543 0.024460
M_ala_L_c_exchange_reverse M_his_L_c_exchange_reverse 0.009656 0.024523
M_ala_L_c_exchange_reverse M_lys_L_c_exchange_reverse 0.009542 0.024460
M_ala_L_c_exchange_reverse M_met_L_c_exchange_reverse 0.009487 0.024451
M_ala_L_c_exchange_reverse M_phe_L_c_exchange_reverse 0.009324 0.024575
M_ala_L_c_exchange_reverse M_pro_L_c_exchange_reverse 0.009473 0.024448
M_ala_L_c_exchange_reverse M_ser_L_c_exchange_reverse 0.009366 0.024440
M_ala_L_c_exchange_reverse M_thr_L_c_exchange_reverse 0.009364 0.024428
M_ala_L_c_exchange_reverse M_trp_L_c_exchange_reverse 0.009554 0.024441
M_ala_L_c_exchange_reverse M_tyr_L_c_exchange_reverse 0.009277 0.024417
M_ala_L_c_exchange_reverse M_val_L_c_exchange_reverse 0.009632 0.024465
M_ala_L_c_exchange_reverse M_glc_D_c_exchange_reverse 0.009338 0.023147
M_ala_L_c_exchange_reverse M_o2_c_exchange_reverse 0.009514 0.024455
M_ala_L_c_exchange_reverse translation_initiation 0.008546 0.024472
M_ala_L_c_exchange_reverse transcriptional_initiation 0.009500 0.024453
M_arg_L_c_exchange_reverse M_asn_L_c_exchange_reverse -0.000117 0.011129
M_arg_L_c_exchange_reverse M_asp_L_c_exchange_reverse -0.000323 0.011139
M_arg_L_c_exchange_reverse M_cys_L_c_exchange_reverse -0.000141 0.011123
M_arg_L_c_exchange_reverse M_glu_L_c_exchange_reverse -0.000192 0.011131
M_arg_L_c_exchange_reverse M_gln_L_c_exchange_reverse 0.000031 0.011105
M_arg_L_c_exchange_reverse M_gly_L_c_exchange_reverse -0.000131 0.011124
M_arg_L_c_exchange_reverse M_ile_L_c_exchange_reverse -0.000147 0.011126
M_arg_L_c_exchange_reverse M_leu_L_c_exchange_reverse -0.000140 0.011127
M_arg_L_c_exchange_reverse M_his_L_c_exchange_reverse -0.000142 0.011142
M_arg_L_c_exchange_reverse M_lys_L_c_exchange_reverse -0.000161 0.011121
M_arg_L_c_exchange_reverse M_met_L_c_exchange_reverse -0.000144 0.011125
M_arg_L_c_exchange_reverse M_phe_L_c_exchange_reverse -0.000347 0.011148
M_arg_L_c_exchange_reverse M_pro_L_c_exchange_reverse -0.000124 0.011123
M_arg_L_c_exchange_reverse M_ser_L_c_exchange_reverse -0.000182 0.011114
M_arg_L_c_exchange_reverse M_thr_L_c_exchange_reverse -0.000156 0.011131
M_arg_L_c_exchange_reverse M_trp_L_c_exchange_reverse -0.000161 0.011122
M_arg_L_c_exchange_reverse M_tyr_L_c_exchange_reverse -0.000072 0.011122
M_arg_L_c_exchange_reverse M_val_L_c_exchange_reverse -0.000280 0.011130
M_arg_L_c_exchange_reverse M_glc_D_c_exchange_reverse -0.000165 0.011129
M_arg_L_c_exchange_reverse M_o2_c_exchange_reverse -0.000131 0.011126
M_arg_L_c_exchange_reverse translation_initiation -0.000011 0.011146
M_arg_L_c_exchange_reverse transcriptional_initiation -0.000134 0.011126
M_asn_L_c_exchange_reverse M_asp_L_c_exchange_reverse 0.002796 0.015202
M_asn_L_c_exchange_reverse M_cys_L_c_exchange_reverse 0.002757 0.015252
M_asn_L_c_exchange_reverse M_glu_L_c_exchange_reverse 0.002841 0.015300
M_asn_L_c_exchange_reverse M_gln_L_c_exchange_reverse 0.002698 0.015232
M_asn_L_c_exchange_reverse M_gly_L_c_exchange_reverse 0.002758 0.015249
M_asn_L_c_exchange_reverse M_ile_L_c_exchange_reverse 0.002808 0.015253
M_asn_L_c_exchange_reverse M_leu_L_c_exchange_reverse 0.002707 0.015239
M_asn_L_c_exchange_reverse M_his_L_c_exchange_reverse 0.002797 0.015258
M_asn_L_c_exchange_reverse M_lys_L_c_exchange_reverse 0.002841 0.015247
M_asn_L_c_exchange_reverse M_met_L_c_exchange_reverse 0.002770 0.015244
M_asn_L_c_exchange_reverse M_phe_L_c_exchange_reverse 0.002814 0.015325
M_asn_L_c_exchange_reverse M_pro_L_c_exchange_reverse 0.002775 0.015252
M_asn_L_c_exchange_reverse M_ser_L_c_exchange_reverse 0.002855 0.015251
M_asn_L_c_exchange_reverse M_thr_L_c_exchange_reverse 0.002799 0.015244
M_asn_L_c_exchange_reverse M_trp_L_c_exchange_reverse 0.002641 0.015258
M_asn_L_c_exchange_reverse M_tyr_L_c_exchange_reverse 0.002889 0.015266
M_asn_L_c_exchange_reverse M_val_L_c_exchange_reverse 0.002775 0.015270
M_asn_L_c_exchange_reverse M_glc_D_c_exchange_reverse 0.001992 0.015032
M_asn_L_c_exchange_reverse M_o2_c_exchange_reverse 0.002755 0.015251
M_asn_L_c_exchange_reverse translation_initiation 0.002546 0.015262
M_asn_L_c_exchange_reverse transcriptional_initiation 0.002779 0.015250
M_asp_L_c_exchange_reverse M_cys_L_c_exchange_reverse 0.053192 0.054006
M_asp_L_c_exchange_reverse M_glu_L_c_exchange_reverse 0.052616 0.053826
M_asp_L_c_exchange_reverse M_gln_L_c_exchange_reverse 0.051515 0.053829
M_asp_L_c_exchange_reverse M_gly_L_c_exchange_reverse 0.053187 0.054006
M_asp_L_c_exchange_reverse M_ile_L_c_exchange_reverse 0.052893 0.054027
M_asp_L_c_exchange_reverse M_leu_L_c_exchange_reverse 0.053229 0.054008
M_asp_L_c_exchange_reverse M_his_L_c_exchange_reverse 0.052453 0.054095
M_asp_L_c_exchange_reverse M_lys_L_c_exchange_reverse 0.053053 0.054028
M_asp_L_c_exchange_reverse M_met_L_c_exchange_reverse 0.053161 0.054000
M_asp_L_c_exchange_reverse M_phe_L_c_exchange_reverse 0.052575 0.053965
M_asp_L_c_exchange_reverse M_pro_L_c_exchange_reverse 0.053032 0.054000
M_asp_L_c_exchange_reverse M_ser_L_c_exchange_reverse 0.053252 0.053983
M_asp_L_c_exchange_reverse M_thr_L_c_exchange_reverse 0.053629 0.053999
