Parameter S1 S1_conf ST ST_conf
M_ala_L_c_exchange_reverse -0.003122 0.013919 0.003129 0.000524
M_arg_L_c_exchange_reverse -0.001785 0.006653 0.000682 0.000122
M_asn_L_c_exchange_reverse 0.001248 0.007873 0.000987 0.000134
M_asp_L_c_exchange_reverse 0.002701 0.038648 0.022692 0.002741
M_cys_L_c_exchange_reverse 0.000386 0.007907 0.000991 0.000075
M_glu_L_c_exchange_reverse 0.041842 0.073808 0.075663 0.009440
M_gln_L_c_exchange_reverse 0.036816 0.057593 0.059804 0.007237
M_gly_L_c_exchange_reverse 0.000350 0.002020 0.000065 0.000033
M_ile_L_c_exchange_reverse 0.005346 0.010202 0.001791 0.000354
M_leu_L_c_exchange_reverse 0.018603 0.037342 0.024579 0.003483
M_his_L_c_exchange_reverse 0.008002 0.030381 0.015938 0.001336
M_lys_L_c_exchange_reverse 0.006268 0.025202 0.009675 0.001474
M_met_L_c_exchange_reverse 0.000147 0.001528 0.000035 0.000017
M_phe_L_c_exchange_reverse 0.148780 0.095800 0.149643 0.012172
M_pro_L_c_exchange_reverse 0.004478 0.008285 0.001032 0.000231
M_ser_L_c_exchange_reverse -0.001131 0.009859 0.001597 0.000572
M_thr_L_c_exchange_reverse -0.004935 0.015830 0.003949 0.000642
M_trp_L_c_exchange_reverse 0.001812 0.015732 0.003592 0.000496
M_tyr_L_c_exchange_reverse 0.026032 0.044320 0.029906 0.003290
M_val_L_c_exchange_reverse 0.023675 0.034897 0.019917 0.002768
M_glc_D_c_exchange_reverse 0.492915 0.183563 0.545650 0.037031
M_o2_c_exchange_reverse -0.005189 0.010271 0.001283 0.001208
translation_initiation 0.159846 0.077545 0.179835 0.039183
transcriptional_initiation 0.000000 0.000000 0.000000 0.000000

Parameter_1 Parameter_2 S2 S2_conf
M_ala_L_c_exchange_reverse M_arg_L_c_exchange_reverse 0.006120 0.023014
M_ala_L_c_exchange_reverse M_asn_L_c_exchange_reverse 0.006161 0.022999
M_ala_L_c_exchange_reverse M_asp_L_c_exchange_reverse 0.006229 0.022854
M_ala_L_c_exchange_reverse M_cys_L_c_exchange_reverse 0.006148 0.023000
M_ala_L_c_exchange_reverse M_glu_L_c_exchange_reverse 0.005976 0.022941
M_ala_L_c_exchange_reverse M_gln_L_c_exchange_reverse 0.005761 0.022854
M_ala_L_c_exchange_reverse M_gly_L_c_exchange_reverse 0.006115 0.023009
M_ala_L_c_exchange_reverse M_ile_L_c_exchange_reverse 0.006041 0.023017
M_ala_L_c_exchange_reverse M_leu_L_c_exchange_reverse 0.006268 0.022997
M_ala_L_c_exchange_reverse M_his_L_c_exchange_reverse 0.006283 0.023084
M_ala_L_c_exchange_reverse M_lys_L_c_exchange_reverse 0.006181 0.023019
M_ala_L_c_exchange_reverse M_met_L_c_exchange_reverse 0.006100 0.023009
M_ala_L_c_exchange_reverse M_phe_L_c_exchange_reverse 0.006365 0.023093
M_ala_L_c_exchange_reverse M_pro_L_c_exchange_reverse 0.006063 0.022988
M_ala_L_c_exchange_reverse M_ser_L_c_exchange_reverse 0.006019 0.023006
M_ala_L_c_exchange_reverse M_thr_L_c_exchange_reverse 0.006044 0.022991
M_ala_L_c_exchange_reverse M_trp_L_c_exchange_reverse 0.006129 0.022994
M_ala_L_c_exchange_reverse M_tyr_L_c_exchange_reverse 0.005975 0.023006
M_ala_L_c_exchange_reverse M_val_L_c_exchange_reverse 0.006213 0.023017
M_ala_L_c_exchange_reverse M_glc_D_c_exchange_reverse 0.006623 0.021753
M_ala_L_c_exchange_reverse M_o2_c_exchange_reverse 0.006124 0.023008
M_ala_L_c_exchange_reverse translation_initiation 0.005367 0.023009
M_ala_L_c_exchange_reverse transcriptional_initiation 0.006107 0.023008
M_arg_L_c_exchange_reverse M_asn_L_c_exchange_reverse 0.001560 0.012082
M_arg_L_c_exchange_reverse M_asp_L_c_exchange_reverse 0.001262 0.012081
M_arg_L_c_exchange_reverse M_cys_L_c_exchange_reverse 0.001513 0.012079
M_arg_L_c_exchange_reverse M_glu_L_c_exchange_reverse 0.001489 0.012090
M_arg_L_c_exchange_reverse M_gln_L_c_exchange_reverse 0.001547 0.012055
M_arg_L_c_exchange_reverse M_gly_L_c_exchange_reverse 0.001551 0.012080
M_arg_L_c_exchange_reverse M_ile_L_c_exchange_reverse 0.001508 0.012081
M_arg_L_c_exchange_reverse M_leu_L_c_exchange_reverse 0.001521 0.012086
M_arg_L_c_exchange_reverse M_his_L_c_exchange_reverse 0.001504 0.012092
M_arg_L_c_exchange_reverse M_lys_L_c_exchange_reverse 0.001487 0.012067
M_arg_L_c_exchange_reverse M_met_L_c_exchange_reverse 0.001539 0.012080
M_arg_L_c_exchange_reverse M_phe_L_c_exchange_reverse 0.001220 0.012109
M_arg_L_c_exchange_reverse M_pro_L_c_exchange_reverse 0.001554 0.012079
M_arg_L_c_exchange_reverse M_ser_L_c_exchange_reverse 0.001540 0.012078
M_arg_L_c_exchange_reverse M_thr_L_c_exchange_reverse 0.001545 0.012078
M_arg_L_c_exchange_reverse M_trp_L_c_exchange_reverse 0.001542 0.012079
M_arg_L_c_exchange_reverse M_tyr_L_c_exchange_reverse 0.001597 0.012076
M_arg_L_c_exchange_reverse M_val_L_c_exchange_reverse 0.001405 0.012088
M_arg_L_c_exchange_reverse M_glc_D_c_exchange_reverse 0.001183 0.012041
M_arg_L_c_exchange_reverse M_o2_c_exchange_reverse 0.001543 0.012080
M_arg_L_c_exchange_reverse translation_initiation 0.001631 0.012113
M_arg_L_c_exchange_reverse transcriptional_initiation 0.001543 0.012080
M_asn_L_c_exchange_reverse M_asp_L_c_exchange_reverse 0.002012 0.014408
M_asn_L_c_exchange_reverse M_cys_L_c_exchange_reverse 0.002013 0.014443
M_asn_L_c_exchange_reverse M_glu_L_c_exchange_reverse 0.002036 0.014435
M_asn_L_c_exchange_reverse M_gln_L_c_exchange_reverse 0.001941 0.014400
M_asn_L_c_exchange_reverse M_gly_L_c_exchange_reverse 0.002042 0.014438
M_asn_L_c_exchange_reverse M_ile_L_c_exchange_reverse 0.002088 0.014447
M_asn_L_c_exchange_reverse M_leu_L_c_exchange_reverse 0.001954 0.014434
M_asn_L_c_exchange_reverse M_his_L_c_exchange_reverse 0.002051 0.014437
M_asn_L_c_exchange_reverse M_lys_L_c_exchange_reverse 0.002146 0.014431
M_asn_L_c_exchange_reverse M_met_L_c_exchange_reverse 0.002041 0.014439
M_asn_L_c_exchange_reverse M_phe_L_c_exchange_reverse 0.002194 0.014487
M_asn_L_c_exchange_reverse M_pro_L_c_exchange_reverse 0.002034 0.014440
M_asn_L_c_exchange_reverse M_ser_L_c_exchange_reverse 0.002070 0.014437
M_asn_L_c_exchange_reverse M_thr_L_c_exchange_reverse 0.002056 0.014436
M_asn_L_c_exchange_reverse M_trp_L_c_exchange_reverse 0.001960 0.014440
M_asn_L_c_exchange_reverse M_tyr_L_c_exchange_reverse 0.002068 0.014435
M_asn_L_c_exchange_reverse M_val_L_c_exchange_reverse 0.002002 0.014448
M_asn_L_c_exchange_reverse M_glc_D_c_exchange_reverse 0.001534 0.014343
M_asn_L_c_exchange_reverse M_o2_c_exchange_reverse 0.002025 0.014439
M_asn_L_c_exchange_reverse translation_initiation 0.001789 0.014439
M_asn_L_c_exchange_reverse transcriptional_initiation 0.002047 0.014439
M_asp_L_c_exchange_reverse M_cys_L_c_exchange_reverse 0.041508 0.059767
M_asp_L_c_exchange_reverse M_glu_L_c_exchange_reverse 0.041272 0.059455
M_asp_L_c_exchange_reverse M_gln_L_c_exchange_reverse 0.040847 0.059627
M_asp_L_c_exchange_reverse M_gly_L_c_exchange_reverse 0.041561 0.059771
M_asp_L_c_exchange_reverse M_ile_L_c_exchange_reverse 0.041221 0.059751
M_asp_L_c_exchange_reverse M_leu_L_c_exchange_reverse 0.042986 0.059573
M_asp_L_c_exchange_reverse M_his_L_c_exchange_reverse 0.040329 0.059810
M_asp_L_c_exchange_reverse M_lys_L_c_exchange_reverse 0.041464 0.059749
M_asp_L_c_exchange_reverse M_met_L_c_exchange_reverse 0.041568 0.059770
M_asp_L_c_exchange_reverse M_phe_L_c_exchange_reverse 0.040081 0.059593
M_asp_L_c_exchange_reverse M_pro_L_c_exchange_reverse 0.041518 0.059767
M_asp_L_c_exchange_reverse M_ser_L_c_exchange_reverse 0.041500 0.059763
M_asp_L_c_exchange_reverse M_thr_L_c_exchange_reverse 0.042034 0.059758
M_asp_L_c_exchange_reverse M_trp_L_c_exchange_reverse 0.042059 0.059773
M_asp_L_c_exchange_reverse M_tyr_L_c_exchange_reverse 0.042271 0.059776
M_asp_L_c_exchange_reverse M_val_L_c_exchange_reverse 0.040965 0.059600
M_asp_L_c_exchange_reverse M_glc_D_c_exchange_reverse 0.043101 0.057220
M_asp_L_c_exchange_reverse M_o2_c_exchange_reverse 0.041632 0.059758
M_asp_L_c_exchange_reverse translation_initiation 0.042442 0.059792
M_asp_L_c_exchange_reverse transcriptional_initiation 0.041564 0.059769
M_cys_L_c_exchange_reverse M_glu_L_c_exchange_reverse -0.000475 0.015059
M_cys_L_c_exchange_reverse M_gln_L_c_exchange_reverse -0.000205 0.015043
M_cys_L_c_exchange_reverse M_gly_L_c_exchange_reverse -0.000363 0.015020
M_cys_L_c_exchange_reverse M_ile_L_c_exchange_reverse -0.000349 0.015023
M_cys_L_c_exchange_reverse M_leu_L_c_exchange_reverse -0.000456 0.015011
M_cys_L_c_exchange_reverse M_his_L_c_exchange_reverse -0.000312 0.015019
M_cys_L_c_exchange_reverse M_lys_L_c_exchange_reverse -0.000275 0.015019
M_cys_L_c_exchange_reverse M_met_L_c_exchange_reverse -0.000339 0.015020
M_cys_L_c_exchange_reverse M_phe_L_c_exchange_reverse -0.000580 0.015110
M_cys_L_c_exchange_reverse M_pro_L_c_exchange_reverse -0.000310 0.015020
M_cys_L_c_exchange_reverse M_ser_L_c_exchange_reverse -0.000345 0.015023
M_cys_L_c_exchange_reverse M_thr_L_c_exchange_reverse -0.000301 0.015024
M_cys_L_c_exchange_reverse M_trp_L_c_exchange_reverse -0.000338 0.015021
M_cys_L_c_exchange_reverse M_tyr_L_c_exchange_reverse -0.000286 0.015044
M_cys_L_c_exchange_reverse M_val_L_c_exchange_reverse -0.000133 0.015033
M_cys_L_c_exchange_reverse M_glc_D_c_exchange_reverse -0.000413 0.015187
M_cys_L_c_exchange_reverse M_o2_c_exchange_reverse -0.000361 0.015019
M_cys_L_c_exchange_reverse translation_initiation -0.000268 0.015036
M_cys_L_c_exchange_reverse transcriptional_initiation -0.000352 0.015019
M_glu_L_c_exchange_reverse M_gln_L_c_exchange_reverse 0.033423 0.110250
M_glu_L_c_exchange_reverse M_gly_L_c_exchange_reverse 0.029788 0.110826
M_glu_L_c_exchange_reverse M_ile_L_c_exchange_reverse 0.029790 0.110791
M_glu_L_c_exchange_reverse M_leu_L_c_exchange_reverse 0.028061 0.110701
M_glu_L_c_exchange_reverse M_his_L_c_exchange_reverse 0.030220 0.110901
M_glu_L_c_exchange_reverse M_lys_L_c_exchange_reverse 0.029542 0.110838
M_glu_L_c_exchange_reverse M_met_L_c_exchange_reverse 0.029831 0.110823
M_glu_L_c_exchange_reverse M_phe_L_c_exchange_reverse 0.030168 0.110276
M_glu_L_c_exchange_reverse M_pro_L_c_exchange_reverse 0.029518 0.110858
M_glu_L_c_exchange_reverse M_ser_L_c_exchange_reverse 0.029761 0.110777
M_glu_L_c_exchange_reverse M_thr_L_c_exchange_reverse 0.029720 0.110761
M_glu_L_c_exchange_reverse M_trp_L_c_exchange_reverse 0.029264 0.110871
M_glu_L_c_exchange_reverse M_tyr_L_c_exchange_reverse 0.029787 0.110882
M_glu_L_c_exchange_reverse M_val_L_c_exchange_reverse 0.030482 0.110805
M_glu_L_c_exchange_reverse M_glc_D_c_exchange_reverse 0.041134 0.105982
M_glu_L_c_exchange_reverse M_o2_c_exchange_reverse 0.029821 0.110824
M_glu_L_c_exchange_reverse translation_initiation 0.028893 0.110752
M_glu_L_c_exchange_reverse transcriptional_initiation 0.029798 0.110824
M_gln_L_c_exchange_reverse M_gly_L_c_exchange_reverse -0.029126 0.093562
M_gln_L_c_exchange_reverse M_ile_L_c_exchange_reverse -0.029412 0.093602
M_gln_L_c_exchange_reverse M_leu_L_c_exchange_reverse -0.029578 0.093618
M_gln_L_c_exchange_reverse M_his_L_c_exchange_reverse -0.029488 0.093612
M_gln_L_c_exchange_reverse M_lys_L_c_exchange_reverse -0.029692 0.093695
M_gln_L_c_exchange_reverse M_met_L_c_exchange_reverse -0.029163 0.093561
M_gln_L_c_exchange_reverse M_phe_L_c_exchange_reverse -0.030319 0.093081
M_gln_L_c_exchange_reverse M_pro_L_c_exchange_reverse -0.029212 0.093553
M_gln_L_c_exchange_reverse M_ser_L_c_exchange_reverse -0.029284 0.093520
M_gln_L_c_exchange_reverse M_thr_L_c_exchange_reverse -0.028740 0.093546
M_gln_L_c_exchange_reverse M_trp_L_c_exchange_reverse -0.028425 0.093533
M_gln_L_c_exchange_reverse M_tyr_L_c_exchange_reverse -0.029884 0.093588
M_gln_L_c_exchange_reverse M_val_L_c_exchange_reverse -0.027997 0.093535
M_gln_L_c_exchange_reverse M_glc_D_c_exchange_reverse -0.016446 0.089367
M_gln_L_c_exchange_reverse M_o2_c_exchange_reverse -0.029160 0.093554
M_gln_L_c_exchange_reverse translation_initiation -0.028349 0.093678
M_gln_L_c_exchange_reverse transcriptional_initiation -0.029123 0.093558
M_gly_L_c_exchange_reverse M_ile_L_c_exchange_reverse -0.001759 0.002906
