Parameter S1 S1_conf ST ST_conf
M_ala_L_c_exchange_reverse -0.002354 0.014118 0.003289 0.000530
M_arg_L_c_exchange_reverse -0.000708 0.005810 0.000522 0.000098
M_asn_L_c_exchange_reverse 0.000142 0.001788 0.000048 0.000024
M_asp_L_c_exchange_reverse -0.001407 0.034802 0.018820 0.002235
M_cys_L_c_exchange_reverse 0.003283 0.007740 0.001036 0.000124
M_glu_L_c_exchange_reverse 0.036056 0.071983 0.074167 0.008900
M_gln_L_c_exchange_reverse 0.035502 0.062081 0.063170 0.007748
M_gly_L_c_exchange_reverse 0.000691 0.004688 0.000368 0.000109
M_ile_L_c_exchange_reverse 0.004548 0.009222 0.001585 0.000389
M_leu_L_c_exchange_reverse 0.020782 0.038911 0.028450 0.003751
M_his_L_c_exchange_reverse 0.014621 0.037161 0.023780 0.002088
M_lys_L_c_exchange_reverse 0.009849 0.021087 0.007751 0.001272
M_met_L_c_exchange_reverse 0.000267 0.003659 0.000210 0.000052
M_phe_L_c_exchange_reverse 0.139821 0.092024 0.145044 0.011492
M_pro_L_c_exchange_reverse 0.003018 0.007603 0.000901 0.000225
M_ser_L_c_exchange_reverse 0.006310 0.028521 0.014226 0.001718
M_thr_L_c_exchange_reverse -0.002610 0.013374 0.002935 0.000594
M_trp_L_c_exchange_reverse 0.001563 0.015530 0.004240 0.000598
M_tyr_L_c_exchange_reverse 0.023014 0.042246 0.030688 0.003503
M_val_L_c_exchange_reverse 0.022484 0.036028 0.020344 0.002837
M_glc_D_c_exchange_reverse 0.480140 0.185923 0.552544 0.035467
M_o2_c_exchange_reverse -0.004065 0.008009 0.000807 0.000759
translation_initiation 0.150463 0.072678 0.167461 0.036871
transcriptional_initiation 0.000000 0.000000 0.000000 0.000000

Parameter_1 Parameter_2 S2 S2_conf
M_ala_L_c_exchange_reverse M_arg_L_c_exchange_reverse 0.007692 0.022893
M_ala_L_c_exchange_reverse M_asn_L_c_exchange_reverse 0.007667 0.022885
M_ala_L_c_exchange_reverse M_asp_L_c_exchange_reverse 0.007977 0.022754
M_ala_L_c_exchange_reverse M_cys_L_c_exchange_reverse 0.007709 0.022882
M_ala_L_c_exchange_reverse M_glu_L_c_exchange_reverse 0.007805 0.022830
M_ala_L_c_exchange_reverse M_gln_L_c_exchange_reverse 0.007136 0.022754
M_ala_L_c_exchange_reverse M_gly_L_c_exchange_reverse 0.007724 0.022890
M_ala_L_c_exchange_reverse M_ile_L_c_exchange_reverse 0.007647 0.022895
M_ala_L_c_exchange_reverse M_leu_L_c_exchange_reverse 0.007837 0.022847
M_ala_L_c_exchange_reverse M_his_L_c_exchange_reverse 0.007848 0.022955
M_ala_L_c_exchange_reverse M_lys_L_c_exchange_reverse 0.007762 0.022904
M_ala_L_c_exchange_reverse M_met_L_c_exchange_reverse 0.007650 0.022883
M_ala_L_c_exchange_reverse M_phe_L_c_exchange_reverse 0.007789 0.022938
M_ala_L_c_exchange_reverse M_pro_L_c_exchange_reverse 0.007609 0.022879
M_ala_L_c_exchange_reverse M_ser_L_c_exchange_reverse 0.007523 0.022846
M_ala_L_c_exchange_reverse M_thr_L_c_exchange_reverse 0.007588 0.022874
M_ala_L_c_exchange_reverse M_trp_L_c_exchange_reverse 0.007717 0.022885
M_ala_L_c_exchange_reverse M_tyr_L_c_exchange_reverse 0.007644 0.022869
M_ala_L_c_exchange_reverse M_val_L_c_exchange_reverse 0.007979 0.022935
M_ala_L_c_exchange_reverse M_glc_D_c_exchange_reverse 0.007238 0.021657
M_ala_L_c_exchange_reverse M_o2_c_exchange_reverse 0.007678 0.022884
