Parameter S1 S1_conf ST ST_conf
M_ala_L_c_exchange_reverse -0.008435 0.010309 0.000940 0.000282
M_arg_L_c_exchange_reverse -0.001184 0.007251 0.000460 0.000053
M_asn_L_c_exchange_reverse 0.001477 0.009156 0.000730 0.000088
M_asp_L_c_exchange_reverse 0.002480 0.017650 0.002445 0.000825
M_cys_L_c_exchange_reverse 0.002622 0.017247 0.002420 0.000238
M_glu_L_c_exchange_reverse 0.020660 0.055084 0.026807 0.007859
M_gln_L_c_exchange_reverse 0.005616 0.029788 0.007188 0.003133
M_gly_L_c_exchange_reverse -0.000910 0.006367 0.000301 0.000074
M_ile_L_c_exchange_reverse -0.004463 0.007201 0.000431 0.000185
M_leu_L_c_exchange_reverse 0.011419 0.041692 0.014004 0.002652
M_his_L_c_exchange_reverse 0.036692 0.066713 0.039074 0.003724
M_lys_L_c_exchange_reverse 0.006908 0.020404 0.003285 0.000571
M_met_L_c_exchange_reverse -0.000153 0.005354 0.000233 0.000048
M_phe_L_c_exchange_reverse 0.122327 0.118826 0.122163 0.011128
M_pro_L_c_exchange_reverse 0.000645 0.003963 0.000135 0.000123
M_ser_L_c_exchange_reverse 0.023576 0.038982 0.012381 0.001320
M_thr_L_c_exchange_reverse -0.002893 0.012164 0.001169 0.000182
M_trp_L_c_exchange_reverse 0.003528 0.025032 0.005305 0.000599
M_tyr_L_c_exchange_reverse 0.034012 0.059966 0.028970 0.002769
M_val_L_c_exchange_reverse 0.008910 0.029682 0.007039 0.001602
M_glc_D_c_exchange_reverse 0.447857 0.230567 0.433708 0.037533
M_o2_c_exchange_reverse -0.013313 0.033655 0.008479 0.005340
translation_initiation 0.316337 0.141322 0.340874 0.057183
transcriptional_initiation 0.000000 0.000000 0.000000 0.000000

Parameter_1 Parameter_2 S2 S2_conf
M_ala_L_c_exchange_reverse M_arg_L_c_exchange_reverse 0.010172 0.016609
M_ala_L_c_exchange_reverse M_asn_L_c_exchange_reverse 0.010159 0.016611
M_ala_L_c_exchange_reverse M_asp_L_c_exchange_reverse 0.010146 0.016610
M_ala_L_c_exchange_reverse M_cys_L_c_exchange_reverse 0.010230 0.016610
M_ala_L_c_exchange_reverse M_glu_L_c_exchange_reverse 0.009908 0.016584
M_ala_L_c_exchange_reverse M_gln_L_c_exchange_reverse 0.010203 0.016625
M_ala_L_c_exchange_reverse M_gly_L_c_exchange_reverse 0.010190 0.016611
M_ala_L_c_exchange_reverse M_ile_L_c_exchange_reverse 0.010160 0.016609
M_ala_L_c_exchange_reverse M_leu_L_c_exchange_reverse 0.010088 0.016610
M_ala_L_c_exchange_reverse M_his_L_c_exchange_reverse 0.010386 0.016578
M_ala_L_c_exchange_reverse M_lys_L_c_exchange_reverse 0.010166 0.016614
M_ala_L_c_exchange_reverse M_met_L_c_exchange_reverse 0.010144 0.016614
M_ala_L_c_exchange_reverse M_phe_L_c_exchange_reverse 0.010075 0.016624
M_ala_L_c_exchange_reverse M_pro_L_c_exchange_reverse 0.010168 0.016610
M_ala_L_c_exchange_reverse M_ser_L_c_exchange_reverse 0.010104 0.016641
M_ala_L_c_exchange_reverse M_thr_L_c_exchange_reverse 0.010172 0.016611
M_ala_L_c_exchange_reverse M_trp_L_c_exchange_reverse 0.010214 0.016618
M_ala_L_c_exchange_reverse M_tyr_L_c_exchange_reverse 0.010165 0.016623
M_ala_L_c_exchange_reverse M_val_L_c_exchange_reverse 0.010259 0.016620
M_ala_L_c_exchange_reverse M_glc_D_c_exchange_reverse 0.010310 0.016506
M_ala_L_c_exchange_reverse M_o2_c_exchange_reverse 0.010211 0.016615
M_ala_L_c_exchange_reverse translation_initiation 0.010107 0.016633
M_ala_L_c_exchange_reverse transcriptional_initiation 0.010171 0.016610
M_arg_L_c_exchange_reverse M_asn_L_c_exchange_reverse 0.001380 0.014076
M_arg_L_c_exchange_reverse M_asp_L_c_exchange_reverse 0.001343 0.014072
M_arg_L_c_exchange_reverse M_cys_L_c_exchange_reverse 0.001370 0.014072
M_arg_L_c_exchange_reverse M_glu_L_c_exchange_reverse 0.001567 0.014075
M_arg_L_c_exchange_reverse M_gln_L_c_exchange_reverse 0.001429 0.014073
M_arg_L_c_exchange_reverse M_gly_L_c_exchange_reverse 0.001361 0.014072
M_arg_L_c_exchange_reverse M_ile_L_c_exchange_reverse 0.001338 0.014072
M_arg_L_c_exchange_reverse M_leu_L_c_exchange_reverse 0.001407 0.014079
M_arg_L_c_exchange_reverse M_his_L_c_exchange_reverse 0.001341 0.014090
M_arg_L_c_exchange_reverse M_lys_L_c_exchange_reverse 0.001375 0.014076
M_arg_L_c_exchange_reverse M_met_L_c_exchange_reverse 0.001361 0.014073
M_arg_L_c_exchange_reverse M_phe_L_c_exchange_reverse 0.001361 0.014085
M_arg_L_c_exchange_reverse M_pro_L_c_exchange_reverse 0.001367 0.014073
M_arg_L_c_exchange_reverse M_ser_L_c_exchange_reverse 0.001377 0.014074
M_arg_L_c_exchange_reverse M_thr_L_c_exchange_reverse 0.001363 0.014073
M_arg_L_c_exchange_reverse M_trp_L_c_exchange_reverse 0.001336 0.014074
M_arg_L_c_exchange_reverse M_tyr_L_c_exchange_reverse 0.001362 0.014068
M_arg_L_c_exchange_reverse M_val_L_c_exchange_reverse 0.001348 0.014082
M_arg_L_c_exchange_reverse M_glc_D_c_exchange_reverse 0.001348 0.014118
M_arg_L_c_exchange_reverse M_o2_c_exchange_reverse 0.001412 0.014068
M_arg_L_c_exchange_reverse translation_initiation 0.001486 0.014108
M_arg_L_c_exchange_reverse transcriptional_initiation 0.001364 0.014073
M_asn_L_c_exchange_reverse M_asp_L_c_exchange_reverse 0.001412 0.017800
M_asn_L_c_exchange_reverse M_cys_L_c_exchange_reverse 0.001484 0.017799
M_asn_L_c_exchange_reverse M_glu_L_c_exchange_reverse 0.001531 0.017810
M_asn_L_c_exchange_reverse M_gln_L_c_exchange_reverse 0.001470 0.017794
M_asn_L_c_exchange_reverse M_gly_L_c_exchange_reverse 0.001424 0.017797
M_asn_L_c_exchange_reverse M_ile_L_c_exchange_reverse 0.001450 0.017795
M_asn_L_c_exchange_reverse M_leu_L_c_exchange_reverse 0.001469 0.017798
M_asn_L_c_exchange_reverse M_his_L_c_exchange_reverse 0.001442 0.017813
M_asn_L_c_exchange_reverse M_lys_L_c_exchange_reverse 0.001448 0.017799
M_asn_L_c_exchange_reverse M_met_L_c_exchange_reverse 0.001442 0.017798
M_asn_L_c_exchange_reverse M_phe_L_c_exchange_reverse 0.001305 0.017789
M_asn_L_c_exchange_reverse M_pro_L_c_exchange_reverse 0.001439 0.017797
M_asn_L_c_exchange_reverse M_ser_L_c_exchange_reverse 0.001426 0.017796
M_asn_L_c_exchange_reverse M_thr_L_c_exchange_reverse 0.001430 0.017796
M_asn_L_c_exchange_reverse M_trp_L_c_exchange_reverse 0.001418 0.017792
M_asn_L_c_exchange_reverse M_tyr_L_c_exchange_reverse 0.001411 0.017799
M_asn_L_c_exchange_reverse M_val_L_c_exchange_reverse 0.001369 0.017808
M_asn_L_c_exchange_reverse M_glc_D_c_exchange_reverse 0.001212 0.017862
M_asn_L_c_exchange_reverse M_o2_c_exchange_reverse 0.001417 0.017804
M_asn_L_c_exchange_reverse translation_initiation 0.001323 0.017811
M_asn_L_c_exchange_reverse transcriptional_initiation 0.001434 0.017798
M_asp_L_c_exchange_reverse M_cys_L_c_exchange_reverse 0.006862 0.028209
M_asp_L_c_exchange_reverse M_glu_L_c_exchange_reverse 0.006415 0.028064
M_asp_L_c_exchange_reverse M_gln_L_c_exchange_reverse 0.006771 0.028163
M_asp_L_c_exchange_reverse M_gly_L_c_exchange_reverse 0.006809 0.028196
M_asp_L_c_exchange_reverse M_ile_L_c_exchange_reverse 0.006790 0.028191
M_asp_L_c_exchange_reverse M_leu_L_c_exchange_reverse 0.006731 0.028127
M_asp_L_c_exchange_reverse M_his_L_c_exchange_reverse 0.006681 0.028162
M_asp_L_c_exchange_reverse M_lys_L_c_exchange_reverse 0.006827 0.028181
M_asp_L_c_exchange_reverse M_met_L_c_exchange_reverse 0.006829 0.028199
M_asp_L_c_exchange_reverse M_phe_L_c_exchange_reverse 0.006655 0.027749
M_asp_L_c_exchange_reverse M_pro_L_c_exchange_reverse 0.006806 0.028197
M_asp_L_c_exchange_reverse M_ser_L_c_exchange_reverse 0.006602 0.028193
M_asp_L_c_exchange_reverse M_thr_L_c_exchange_reverse 0.006828 0.028199
M_asp_L_c_exchange_reverse M_trp_L_c_exchange_reverse 0.006737 0.028201
M_asp_L_c_exchange_reverse M_tyr_L_c_exchange_reverse 0.006470 0.028211
M_asp_L_c_exchange_reverse M_val_L_c_exchange_reverse 0.006836 0.028210
M_asp_L_c_exchange_reverse M_glc_D_c_exchange_reverse 0.006255 0.026686
M_asp_L_c_exchange_reverse M_o2_c_exchange_reverse 0.006969 0.028203
M_asp_L_c_exchange_reverse translation_initiation 0.006800 0.028196
M_asp_L_c_exchange_reverse transcriptional_initiation 0.006810 0.028197
M_cys_L_c_exchange_reverse M_glu_L_c_exchange_reverse -0.002889 0.032391
M_cys_L_c_exchange_reverse M_gln_L_c_exchange_reverse -0.002841 0.032383
M_cys_L_c_exchange_reverse M_gly_L_c_exchange_reverse -0.002732 0.032385
