Parameter S1 S1_conf ST ST_conf
M_ala_L_c_exchange_reverse -0.003090 0.013750 0.003344 0.000558
M_arg_L_c_exchange_reverse -0.000474 0.005754 0.000518 0.000089
M_asn_L_c_exchange_reverse 0.002584 0.007489 0.000914 0.000131
M_asp_L_c_exchange_reverse 0.001928 0.034208 0.019522 0.002320
M_cys_L_c_exchange_reverse 0.003779 0.007921 0.001042 0.000134
M_glu_L_c_exchange_reverse 0.039982 0.067903 0.074469 0.009289
M_gln_L_c_exchange_reverse 0.036182 0.063093 0.063756 0.008074
M_gly_L_c_exchange_reverse 0.000547 0.004789 0.000369 0.000109
M_ile_L_c_exchange_reverse 0.004183 0.009609 0.001536 0.000343
M_leu_L_c_exchange_reverse 0.021584 0.039747 0.028612 0.003866
M_his_L_c_exchange_reverse 0.014159 0.038762 0.024147 0.002019
M_lys_L_c_exchange_reverse 0.008676 0.021551 0.007857 0.001213
M_met_L_c_exchange_reverse 0.000332 0.003572 0.000205 0.000047
M_phe_L_c_exchange_reverse 0.141958 0.089430 0.146825 0.011794
M_pro_L_c_exchange_reverse 0.003496 0.007729 0.000939 0.000237
M_ser_L_c_exchange_reverse 0.006748 0.029142 0.014111 0.001638
M_thr_L_c_exchange_reverse -0.003060 0.012663 0.002942 0.000591
M_trp_L_c_exchange_reverse 0.000982 0.003629 0.000220 0.000114
M_tyr_L_c_exchange_reverse 0.024354 0.040857 0.030743 0.003502
M_val_L_c_exchange_reverse 0.021891 0.035373 0.020078 0.002932
M_glc_D_c_exchange_reverse 0.482203 0.176129 0.551614 0.036665
M_o2_c_exchange_reverse -0.004006 0.007857 0.000837 0.000758
translation_initiation 0.150975 0.074957 0.167941 0.035873
transcriptional_initiation 0.000000 0.000000 0.000000 0.000000

Parameter_1 Parameter_2 S2 S2_conf
M_ala_L_c_exchange_reverse M_arg_L_c_exchange_reverse 0.008661 0.022869
M_ala_L_c_exchange_reverse M_asn_L_c_exchange_reverse 0.008675 0.022854
M_ala_L_c_exchange_reverse M_asp_L_c_exchange_reverse 0.008827 0.022744
M_ala_L_c_exchange_reverse M_cys_L_c_exchange_reverse 0.008688 0.022867
M_ala_L_c_exchange_reverse M_glu_L_c_exchange_reverse 0.008717 0.022860
M_ala_L_c_exchange_reverse M_gln_L_c_exchange_reverse 0.008016 0.022752
M_ala_L_c_exchange_reverse M_gly_L_c_exchange_reverse 0.008689 0.022866
M_ala_L_c_exchange_reverse M_ile_L_c_exchange_reverse 0.008590 0.022877
M_ala_L_c_exchange_reverse M_leu_L_c_exchange_reverse 0.008769 0.022840
M_ala_L_c_exchange_reverse M_his_L_c_exchange_reverse 0.008782 0.022953
M_ala_L_c_exchange_reverse M_lys_L_c_exchange_reverse 0.008738 0.022879
M_ala_L_c_exchange_reverse M_met_L_c_exchange_reverse 0.008619 0.022858
M_ala_L_c_exchange_reverse M_phe_L_c_exchange_reverse 0.008741 0.022909
M_ala_L_c_exchange_reverse M_pro_L_c_exchange_reverse 0.008583 0.022851
M_ala_L_c_exchange_reverse M_ser_L_c_exchange_reverse 0.008415 0.022833
M_ala_L_c_exchange_reverse M_thr_L_c_exchange_reverse 0.008531 0.022848
M_ala_L_c_exchange_reverse M_trp_L_c_exchange_reverse 0.008645 0.022859
M_ala_L_c_exchange_reverse M_tyr_L_c_exchange_reverse 0.008544 0.022861
M_ala_L_c_exchange_reverse M_val_L_c_exchange_reverse 0.008840 0.022866
M_ala_L_c_exchange_reverse M_glc_D_c_exchange_reverse 0.008331 0.021416
M_ala_L_c_exchange_reverse M_o2_c_exchange_reverse 0.008651 0.022860
M_ala_L_c_exchange_reverse translation_initiation 0.007820 0.022949
