Parameter S1 S1_conf ST ST_conf
M_ala_L_c_exchange_reverse 0.002297 0.004292 0.000295 0.000317
M_arg_L_c_exchange_reverse -0.000824 0.005704 0.000521 0.000083
M_asn_L_c_exchange_reverse 0.002326 0.007444 0.000923 0.000133
M_asp_L_c_exchange_reverse -0.001561 0.035522 0.019718 0.002302
M_cys_L_c_exchange_reverse 0.002998 0.008062 0.001048 0.000124
M_glu_L_c_exchange_reverse 0.037728 0.071826 0.073926 0.009362
M_gln_L_c_exchange_reverse 0.034146 0.060828 0.062413 0.007949
M_gly_L_c_exchange_reverse 0.000579 0.005007 0.000396 0.000117
M_ile_L_c_exchange_reverse 0.003894 0.009386 0.001533 0.000340
M_leu_L_c_exchange_reverse 0.021857 0.041251 0.028613 0.003834
M_his_L_c_exchange_reverse 0.014120 0.037498 0.024449 0.002147
M_lys_L_c_exchange_reverse 0.010236 0.021293 0.007848 0.001253
M_met_L_c_exchange_reverse 0.000384 0.003629 0.000205 0.000044
M_phe_L_c_exchange_reverse 0.143597 0.093136 0.147198 0.011480
M_pro_L_c_exchange_reverse 0.004915 0.007550 0.000924 0.000222
M_ser_L_c_exchange_reverse 0.006882 0.029867 0.014064 0.001537
M_thr_L_c_exchange_reverse -0.001443 0.013240 0.002973 0.000625
M_trp_L_c_exchange_reverse 0.001980 0.016319 0.004377 0.000629
M_tyr_L_c_exchange_reverse 0.024553 0.044862 0.030627 0.003399
M_val_L_c_exchange_reverse 0.019961 0.036132 0.019929 0.002795
M_glc_D_c_exchange_reverse 0.477706 0.176252 0.547427 0.035015
M_o2_c_exchange_reverse -0.004324 0.008000 0.000898 0.000846
translation_initiation 0.153575 0.074079 0.171327 0.036772
transcriptional_initiation 0.000000 0.000000 0.000000 0.000000

Parameter_1 Parameter_2 S2 S2_conf
M_ala_L_c_exchange_reverse M_arg_L_c_exchange_reverse 0.000566 0.006396
M_ala_L_c_exchange_reverse M_asn_L_c_exchange_reverse 0.000575 0.006405
M_ala_L_c_exchange_reverse M_asp_L_c_exchange_reverse 0.000556 0.006364
M_ala_L_c_exchange_reverse M_cys_L_c_exchange_reverse 0.000589 0.006404
M_ala_L_c_exchange_reverse M_glu_L_c_exchange_reverse 0.000754 0.006443
M_ala_L_c_exchange_reverse M_gln_L_c_exchange_reverse 0.000605 0.006455
M_ala_L_c_exchange_reverse M_gly_L_c_exchange_reverse 0.000598 0.006405
M_ala_L_c_exchange_reverse M_ile_L_c_exchange_reverse 0.000589 0.006413
M_ala_L_c_exchange_reverse M_leu_L_c_exchange_reverse 0.000671 0.006409
M_ala_L_c_exchange_reverse M_his_L_c_exchange_reverse 0.000577 0.006408
M_ala_L_c_exchange_reverse M_lys_L_c_exchange_reverse 0.000650 0.006449
M_ala_L_c_exchange_reverse M_met_L_c_exchange_reverse 0.000564 0.006396
M_ala_L_c_exchange_reverse M_phe_L_c_exchange_reverse 0.000820 0.006542
M_ala_L_c_exchange_reverse M_pro_L_c_exchange_reverse 0.000572 0.006394
M_ala_L_c_exchange_reverse M_ser_L_c_exchange_reverse 0.000547 0.006387
M_ala_L_c_exchange_reverse M_thr_L_c_exchange_reverse 0.000507 0.006361
M_ala_L_c_exchange_reverse M_trp_L_c_exchange_reverse 0.000571 0.006397
M_ala_L_c_exchange_reverse M_tyr_L_c_exchange_reverse 0.000535 0.006396
M_ala_L_c_exchange_reverse M_val_L_c_exchange_reverse 0.000603 0.006400
M_ala_L_c_exchange_reverse M_glc_D_c_exchange_reverse -0.000731 0.005717
M_ala_L_c_exchange_reverse M_o2_c_exchange_reverse 0.000565 0.006396
