Parameter S1 S1_conf ST ST_conf
M_ala_L_c_exchange_reverse 0.000305 0.014123 0.003207 0.000521
M_arg_L_c_exchange_reverse -0.001631 0.006290 0.000565 0.000102
M_asn_L_c_exchange_reverse 0.002416 0.007456 0.000963 0.000139
M_asp_L_c_exchange_reverse -0.008608 0.034364 0.020500 0.002646
M_cys_L_c_exchange_reverse 0.002363 0.008332 0.001075 0.000118
M_glu_L_c_exchange_reverse 0.031915 0.071237 0.077106 0.010496
M_gln_L_c_exchange_reverse 0.028813 0.063682 0.064680 0.008554
M_gly_L_c_exchange_reverse 0.000901 0.004983 0.000390 0.000110
M_ile_L_c_exchange_reverse 0.004534 0.009563 0.001600 0.000366
M_leu_L_c_exchange_reverse 0.024245 0.042154 0.029077 0.003874
M_his_L_c_exchange_reverse 0.016861 0.038326 0.025565 0.002239
M_lys_L_c_exchange_reverse 0.007580 0.022341 0.008223 0.001375
M_met_L_c_exchange_reverse 0.000127 0.003857 0.000218 0.000049
M_phe_L_c_exchange_reverse 0.145741 0.097009 0.155231 0.012538
M_pro_L_c_exchange_reverse 0.000802 0.007674 0.000915 0.000242
M_ser_L_c_exchange_reverse 0.006142 0.030560 0.014670 0.001780
M_thr_L_c_exchange_reverse -0.002642 0.013370 0.002970 0.000606
M_trp_L_c_exchange_reverse 0.002447 0.016042 0.004432 0.000626
M_tyr_L_c_exchange_reverse 0.001569 0.010644 0.001839 0.000744
M_val_L_c_exchange_reverse 0.013653 0.035474 0.020793 0.003099
M_glc_D_c_exchange_reverse 0.483799 0.180431 0.552338 0.038072
M_o2_c_exchange_reverse -0.003543 0.008035 0.000825 0.000661
translation_initiation 0.161039 0.078488 0.177896 0.038553
transcriptional_initiation 0.000000 0.000000 0.000000 0.000000

Parameter_1 Parameter_2 S2 S2_conf
M_ala_L_c_exchange_reverse M_arg_L_c_exchange_reverse 0.005488 0.024923
M_ala_L_c_exchange_reverse M_asn_L_c_exchange_reverse 0.005511 0.024920
M_ala_L_c_exchange_reverse M_asp_L_c_exchange_reverse 0.005663 0.024783
M_ala_L_c_exchange_reverse M_cys_L_c_exchange_reverse 0.005543 0.024915
M_ala_L_c_exchange_reverse M_glu_L_c_exchange_reverse 0.005477 0.024850
M_ala_L_c_exchange_reverse M_gln_L_c_exchange_reverse 0.005053 0.024808
M_ala_L_c_exchange_reverse M_gly_L_c_exchange_reverse 0.005530 0.024929
M_ala_L_c_exchange_reverse M_ile_L_c_exchange_reverse 0.005472 0.024933
M_ala_L_c_exchange_reverse M_leu_L_c_exchange_reverse 0.005568 0.024879
M_ala_L_c_exchange_reverse M_his_L_c_exchange_reverse 0.005596 0.025030
M_ala_L_c_exchange_reverse M_lys_L_c_exchange_reverse 0.005447 0.024951
M_ala_L_c_exchange_reverse M_met_L_c_exchange_reverse 0.005458 0.024922
M_ala_L_c_exchange_reverse M_phe_L_c_exchange_reverse 0.005655 0.024930
M_ala_L_c_exchange_reverse M_pro_L_c_exchange_reverse 0.005412 0.024918
M_ala_L_c_exchange_reverse M_ser_L_c_exchange_reverse 0.005206 0.024858
M_ala_L_c_exchange_reverse M_thr_L_c_exchange_reverse 0.005386 0.024913
M_ala_L_c_exchange_reverse M_trp_L_c_exchange_reverse 0.005509 0.024928
M_ala_L_c_exchange_reverse M_tyr_L_c_exchange_reverse 0.005441 0.024921
M_ala_L_c_exchange_reverse M_val_L_c_exchange_reverse 0.005722 0.024952
M_ala_L_c_exchange_reverse M_glc_D_c_exchange_reverse 0.005592 0.023249
M_ala_L_c_exchange_reverse M_o2_c_exchange_reverse 0.005491 0.024924
