Parameter S1 S1_conf ST ST_conf
M_ala_L_c_exchange_reverse -0.004186 0.009491 0.000752 0.000176
M_arg_L_c_exchange_reverse 0.000681 0.006100 0.000325 0.000043
M_asn_L_c_exchange_reverse 0.001536 0.008559 0.000637 0.000096
M_asp_L_c_exchange_reverse -0.002212 0.016290 0.002325 0.000714
M_cys_L_c_exchange_reverse 0.000930 0.013720 0.001768 0.000173
M_glu_L_c_exchange_reverse 0.015540 0.031338 0.008270 0.004962
M_gln_L_c_exchange_reverse -0.019953 0.043499 0.016638 0.006710
M_gly_L_c_exchange_reverse -0.000292 0.005483 0.000273 0.000054
M_ile_L_c_exchange_reverse 0.000997 0.007115 0.000464 0.000077
M_leu_L_c_exchange_reverse 0.007511 0.037214 0.013230 0.001810
M_his_L_c_exchange_reverse 0.027623 0.058014 0.032507 0.003033
M_lys_L_c_exchange_reverse 0.002676 0.019977 0.003596 0.000721
M_met_L_c_exchange_reverse -0.000598 0.005102 0.000226 0.000047
M_phe_L_c_exchange_reverse 0.136585 0.121998 0.128546 0.011060
M_pro_L_c_exchange_reverse 0.001510 0.003692 0.000125 0.000032
M_ser_L_c_exchange_reverse 0.014610 0.034523 0.010795 0.001606
M_thr_L_c_exchange_reverse -0.003635 0.013938 0.001687 0.000278
M_trp_L_c_exchange_reverse 0.001901 0.022885 0.004813 0.000526
M_tyr_L_c_exchange_reverse 0.033748 0.057851 0.030186 0.003145
M_val_L_c_exchange_reverse 0.011147 0.029016 0.007299 0.001658
M_glc_D_c_exchange_reverse 0.438545 0.232307 0.464273 0.039409
M_o2_c_exchange_reverse -0.010871 0.028635 0.006063 0.004191
translation_initiation 0.290820 0.128510 0.313929 0.057140
transcriptional_initiation 0.000000 0.000000 0.000000 0.000000

Parameter_1 Parameter_2 S2 S2_conf
M_ala_L_c_exchange_reverse M_arg_L_c_exchange_reverse 0.005310 0.016708
M_ala_L_c_exchange_reverse M_asn_L_c_exchange_reverse 0.005292 0.016707
M_ala_L_c_exchange_reverse M_asp_L_c_exchange_reverse 0.005360 0.016707
M_ala_L_c_exchange_reverse M_cys_L_c_exchange_reverse 0.005346 0.016706
M_ala_L_c_exchange_reverse M_glu_L_c_exchange_reverse 0.005275 0.016711
M_ala_L_c_exchange_reverse M_gln_L_c_exchange_reverse 0.005417 0.016702
M_ala_L_c_exchange_reverse M_gly_L_c_exchange_reverse 0.005317 0.016708
M_ala_L_c_exchange_reverse M_ile_L_c_exchange_reverse 0.005284 0.016705
M_ala_L_c_exchange_reverse M_leu_L_c_exchange_reverse 0.005246 0.016705
M_ala_L_c_exchange_reverse M_his_L_c_exchange_reverse 0.005503 0.016677
M_ala_L_c_exchange_reverse M_lys_L_c_exchange_reverse 0.005277 0.016704
M_ala_L_c_exchange_reverse M_met_L_c_exchange_reverse 0.005283 0.016707
M_ala_L_c_exchange_reverse M_phe_L_c_exchange_reverse 0.005026 0.016659
M_ala_L_c_exchange_reverse M_pro_L_c_exchange_reverse 0.005308 0.016707
M_ala_L_c_exchange_reverse M_ser_L_c_exchange_reverse 0.005231 0.016700
M_ala_L_c_exchange_reverse M_thr_L_c_exchange_reverse 0.005276 0.016701
M_ala_L_c_exchange_reverse M_trp_L_c_exchange_reverse 0.005333 0.016709
M_ala_L_c_exchange_reverse M_tyr_L_c_exchange_reverse 0.005325 0.016703
M_ala_L_c_exchange_reverse M_val_L_c_exchange_reverse 0.005331 0.016709
M_ala_L_c_exchange_reverse M_glc_D_c_exchange_reverse 0.005042 0.016535
M_ala_L_c_exchange_reverse M_o2_c_exchange_reverse 0.005340 0.016712
M_ala_L_c_exchange_reverse translation_initiation 0.005260 0.016696
M_ala_L_c_exchange_reverse transcriptional_initiation 0.005297 0.016706
M_arg_L_c_exchange_reverse M_asn_L_c_exchange_reverse -0.001051 0.011705
M_arg_L_c_exchange_reverse M_asp_L_c_exchange_reverse -0.001069 0.011700
M_arg_L_c_exchange_reverse M_cys_L_c_exchange_reverse -0.001062 0.011700
M_arg_L_c_exchange_reverse M_glu_L_c_exchange_reverse -0.001083 0.011707
M_arg_L_c_exchange_reverse M_gln_L_c_exchange_reverse -0.001065 0.011703
M_arg_L_c_exchange_reverse M_gly_L_c_exchange_reverse -0.001062 0.011703
M_arg_L_c_exchange_reverse M_ile_L_c_exchange_reverse -0.001064 0.011703
M_arg_L_c_exchange_reverse M_leu_L_c_exchange_reverse -0.001035 0.011707
M_arg_L_c_exchange_reverse M_his_L_c_exchange_reverse -0.001133 0.011725
M_arg_L_c_exchange_reverse M_lys_L_c_exchange_reverse -0.001067 0.011705
M_arg_L_c_exchange_reverse M_met_L_c_exchange_reverse -0.001058 0.011704
M_arg_L_c_exchange_reverse M_phe_L_c_exchange_reverse -0.001126 0.011735
M_arg_L_c_exchange_reverse M_pro_L_c_exchange_reverse -0.001056 0.011704
M_arg_L_c_exchange_reverse M_ser_L_c_exchange_reverse -0.001068 0.011710
M_arg_L_c_exchange_reverse M_thr_L_c_exchange_reverse -0.001074 0.011703
M_arg_L_c_exchange_reverse M_trp_L_c_exchange_reverse -0.001069 0.011706
M_arg_L_c_exchange_reverse M_tyr_L_c_exchange_reverse -0.001077 0.011704
M_arg_L_c_exchange_reverse M_val_L_c_exchange_reverse -0.001124 0.011706
M_arg_L_c_exchange_reverse M_glc_D_c_exchange_reverse -0.001042 0.011762
M_arg_L_c_exchange_reverse M_o2_c_exchange_reverse -0.001013 0.011704
M_arg_L_c_exchange_reverse translation_initiation -0.000974 0.011709
M_arg_L_c_exchange_reverse transcriptional_initiation -0.001056 0.011703
M_asn_L_c_exchange_reverse M_asp_L_c_exchange_reverse 0.000994 0.016811
M_asn_L_c_exchange_reverse M_cys_L_c_exchange_reverse 0.001041 0.016812
M_asn_L_c_exchange_reverse M_glu_L_c_exchange_reverse 0.001039 0.016808
M_asn_L_c_exchange_reverse M_gln_L_c_exchange_reverse 0.001001 0.016802
M_asn_L_c_exchange_reverse M_gly_L_c_exchange_reverse 0.001010 0.016810
M_asn_L_c_exchange_reverse M_ile_L_c_exchange_reverse 0.001020 0.016808
M_asn_L_c_exchange_reverse M_leu_L_c_exchange_reverse 0.001113 0.016797
M_asn_L_c_exchange_reverse M_his_L_c_exchange_reverse 0.000938 0.016820
M_asn_L_c_exchange_reverse M_lys_L_c_exchange_reverse 0.001031 0.016813
M_asn_L_c_exchange_reverse M_met_L_c_exchange_reverse 0.001028 0.016809
M_asn_L_c_exchange_reverse M_phe_L_c_exchange_reverse 0.000842 0.016831
M_asn_L_c_exchange_reverse M_pro_L_c_exchange_reverse 0.001022 0.016808
M_asn_L_c_exchange_reverse M_ser_L_c_exchange_reverse 0.001029 0.016796
M_asn_L_c_exchange_reverse M_thr_L_c_exchange_reverse 0.001018 0.016803
M_asn_L_c_exchange_reverse M_trp_L_c_exchange_reverse 0.001018 0.016809
M_asn_L_c_exchange_reverse M_tyr_L_c_exchange_reverse 0.000991 0.016818
M_asn_L_c_exchange_reverse M_val_L_c_exchange_reverse 0.001034 0.016816
M_asn_L_c_exchange_reverse M_glc_D_c_exchange_reverse 0.000869 0.016907
M_asn_L_c_exchange_reverse M_o2_c_exchange_reverse 0.001000 0.016812
M_asn_L_c_exchange_reverse translation_initiation 0.000907 0.016808
M_asn_L_c_exchange_reverse transcriptional_initiation 0.001021 0.016809
M_asp_L_c_exchange_reverse M_cys_L_c_exchange_reverse 0.009052 0.029018
M_asp_L_c_exchange_reverse M_glu_L_c_exchange_reverse 0.008944 0.029015
M_asp_L_c_exchange_reverse M_gln_L_c_exchange_reverse 0.009333 0.028876
M_asp_L_c_exchange_reverse M_gly_L_c_exchange_reverse 0.008996 0.029015
M_asp_L_c_exchange_reverse M_ile_L_c_exchange_reverse 0.008916 0.029009
M_asp_L_c_exchange_reverse M_leu_L_c_exchange_reverse 0.009179 0.028991
M_asp_L_c_exchange_reverse M_his_L_c_exchange_reverse 0.008709 0.028940
M_asp_L_c_exchange_reverse M_lys_L_c_exchange_reverse 0.008838 0.028984
M_asp_L_c_exchange_reverse M_met_L_c_exchange_reverse 0.008976 0.029010
M_asp_L_c_exchange_reverse M_phe_L_c_exchange_reverse 0.008785 0.028582
M_asp_L_c_exchange_reverse M_pro_L_c_exchange_reverse 0.008986 0.029014
M_asp_L_c_exchange_reverse M_ser_L_c_exchange_reverse 0.008914 0.028973
M_asp_L_c_exchange_reverse M_thr_L_c_exchange_reverse 0.009098 0.029000
M_asp_L_c_exchange_reverse M_trp_L_c_exchange_reverse 0.008917 0.029009
M_asp_L_c_exchange_reverse M_tyr_L_c_exchange_reverse 0.008710 0.029041
M_asp_L_c_exchange_reverse M_val_L_c_exchange_reverse 0.008879 0.029016
M_asp_L_c_exchange_reverse M_glc_D_c_exchange_reverse 0.009175 0.027045
M_asp_L_c_exchange_reverse M_o2_c_exchange_reverse 0.009078 0.029012
M_asp_L_c_exchange_reverse translation_initiation 0.009027 0.029022
M_asp_L_c_exchange_reverse transcriptional_initiation 0.008983 0.029014
M_cys_L_c_exchange_reverse M_glu_L_c_exchange_reverse 0.001445 0.025145
