Parameter S1 S1_conf ST ST_conf
M_ala_L_c_exchange_reverse -0.003654 0.014430 0.003357 0.000544
M_arg_L_c_exchange_reverse -0.001263 0.006045 0.000596 0.000125
M_asn_L_c_exchange_reverse 0.002811 0.007172 0.000902 0.000134
M_asp_L_c_exchange_reverse 0.003246 0.033126 0.018146 0.002217
M_cys_L_c_exchange_reverse 0.001334 0.008031 0.001047 0.000110
M_glu_L_c_exchange_reverse 0.048929 0.072087 0.076747 0.009679
M_gln_L_c_exchange_reverse 0.035320 0.063087 0.064329 0.007893
M_gly_L_c_exchange_reverse 0.001069 0.005349 0.000433 0.000116
M_ile_L_c_exchange_reverse 0.003352 0.010067 0.001601 0.000320
M_leu_L_c_exchange_reverse 0.026681 0.040398 0.028939 0.003819
M_his_L_c_exchange_reverse 0.002375 0.009032 0.001398 0.000368
M_lys_L_c_exchange_reverse 0.007472 0.022873 0.008503 0.001488
M_met_L_c_exchange_reverse 0.000308 0.003621 0.000203 0.000048
M_phe_L_c_exchange_reverse 0.147704 0.093800 0.149829 0.011768
M_pro_L_c_exchange_reverse 0.005221 0.007886 0.000979 0.000225
M_ser_L_c_exchange_reverse 0.009524 0.025046 0.011439 0.001260
M_thr_L_c_exchange_reverse 0.001481 0.013587 0.003182 0.000597
M_trp_L_c_exchange_reverse 0.002501 0.016420 0.004457 0.000615
M_tyr_L_c_exchange_reverse 0.022931 0.044685 0.031758 0.003399
M_val_L_c_exchange_reverse 0.020844 0.035613 0.020599 0.002750
M_glc_D_c_exchange_reverse 0.497437 0.173273 0.558457 0.036596
M_o2_c_exchange_reverse -0.003651 0.007663 0.000807 0.000735
translation_initiation 0.154296 0.076297 0.171408 0.035891
transcriptional_initiation 0.000000 0.000000 0.000000 0.000000

Parameter_1 Parameter_2 S2 S2_conf
M_ala_L_c_exchange_reverse M_arg_L_c_exchange_reverse 0.009817 0.023323
M_ala_L_c_exchange_reverse M_asn_L_c_exchange_reverse 0.009819 0.023312
M_ala_L_c_exchange_reverse M_asp_L_c_exchange_reverse 0.010031 0.023212
M_ala_L_c_exchange_reverse M_cys_L_c_exchange_reverse 0.009869 0.023327
M_ala_L_c_exchange_reverse M_glu_L_c_exchange_reverse 0.009644 0.023338
M_ala_L_c_exchange_reverse M_gln_L_c_exchange_reverse 0.009467 0.023114
M_ala_L_c_exchange_reverse M_gly_L_c_exchange_reverse 0.009848 0.023326
M_ala_L_c_exchange_reverse M_ile_L_c_exchange_reverse 0.009745 0.023325
M_ala_L_c_exchange_reverse M_leu_L_c_exchange_reverse 0.009820 0.023282
M_ala_L_c_exchange_reverse M_his_L_c_exchange_reverse 0.009795 0.023317
M_ala_L_c_exchange_reverse M_lys_L_c_exchange_reverse 0.009926 0.023338
M_ala_L_c_exchange_reverse M_met_L_c_exchange_reverse 0.009783 0.023320
M_ala_L_c_exchange_reverse M_phe_L_c_exchange_reverse 0.009938 0.023348
M_ala_L_c_exchange_reverse M_pro_L_c_exchange_reverse 0.009766 0.023305
M_ala_L_c_exchange_reverse M_ser_L_c_exchange_reverse 0.009747 0.023301
M_ala_L_c_exchange_reverse M_thr_L_c_exchange_reverse 0.009717 0.023308
M_ala_L_c_exchange_reverse M_trp_L_c_exchange_reverse 0.009859 0.023316
M_ala_L_c_exchange_reverse M_tyr_L_c_exchange_reverse 0.009786 0.023314
M_ala_L_c_exchange_reverse M_val_L_c_exchange_reverse 0.010021 0.023348
M_ala_L_c_exchange_reverse M_glc_D_c_exchange_reverse 0.009686 0.022199
M_ala_L_c_exchange_reverse M_o2_c_exchange_reverse 0.009802 0.023320
