Parameter S1 S1_conf ST ST_conf
M_ala_L_c_exchange_reverse 0.001333 0.007218 0.003779 0.000338
M_arg_L_c_exchange_reverse -0.000137 0.002754 0.000512 0.000046
M_asn_L_c_exchange_reverse 0.000566 0.003733 0.000924 0.000066
M_asp_L_c_exchange_reverse 0.007057 0.017422 0.020701 0.001373
M_cys_L_c_exchange_reverse 0.000120 0.004215 0.001234 0.000088
M_glu_L_c_exchange_reverse 0.012977 0.034314 0.071725 0.004418
M_gln_L_c_exchange_reverse 0.019703 0.031243 0.063705 0.003824
M_gly_L_c_exchange_reverse 0.001145 0.002140 0.000322 0.000055
M_ile_L_c_exchange_reverse -0.001047 0.005029 0.001767 0.000219
M_leu_L_c_exchange_reverse 0.016060 0.020753 0.029000 0.001922
M_his_L_c_exchange_reverse 0.016420 0.019237 0.025602 0.001212
M_lys_L_c_exchange_reverse 0.007290 0.010317 0.007319 0.000590
M_met_L_c_exchange_reverse 0.001048 0.001996 0.000258 0.000042
M_phe_L_c_exchange_reverse 0.124170 0.045058 0.145496 0.005829
M_pro_L_c_exchange_reverse 0.001946 0.004094 0.001061 0.000135
M_ser_L_c_exchange_reverse 0.011459 0.015564 0.015374 0.000896
M_thr_L_c_exchange_reverse -0.001541 0.006711 0.002916 0.000266
M_trp_L_c_exchange_reverse 0.005853 0.007869 0.004268 0.000346
M_tyr_L_c_exchange_reverse 0.019532 0.020928 0.030628 0.001719
M_val_L_c_exchange_reverse 0.011855 0.017840 0.020198 0.001336
M_glc_D_c_exchange_reverse 0.475261 0.089906 0.559727 0.017706
M_o2_c_exchange_reverse 0.000012 0.003957 0.000954 0.000490
translation_initiation 0.158208 0.037007 0.163370 0.017987
transcriptional_initiation 0.000000 0.000000 0.000000 0.000000

Parameter_1 Parameter_2 S2 S2_conf
M_ala_L_c_exchange_reverse M_arg_L_c_exchange_reverse 0.000979 0.011613
M_ala_L_c_exchange_reverse M_asn_L_c_exchange_reverse 0.000963 0.011612
M_ala_L_c_exchange_reverse M_asp_L_c_exchange_reverse 0.001146 0.011568
M_ala_L_c_exchange_reverse M_cys_L_c_exchange_reverse 0.000993 0.011614
M_ala_L_c_exchange_reverse M_glu_L_c_exchange_reverse 0.000963 0.011555
M_ala_L_c_exchange_reverse M_gln_L_c_exchange_reverse 0.001266 0.011561
M_ala_L_c_exchange_reverse M_gly_L_c_exchange_reverse 0.000979 0.011613
M_ala_L_c_exchange_reverse M_ile_L_c_exchange_reverse 0.000991 0.011612
M_ala_L_c_exchange_reverse M_leu_L_c_exchange_reverse 0.001118 0.011594
M_ala_L_c_exchange_reverse M_his_L_c_exchange_reverse 0.001048 0.011623
M_ala_L_c_exchange_reverse M_lys_L_c_exchange_reverse 0.001010 0.011621
M_ala_L_c_exchange_reverse M_met_L_c_exchange_reverse 0.000955 0.011611
M_ala_L_c_exchange_reverse M_phe_L_c_exchange_reverse 0.000829 0.011582
M_ala_L_c_exchange_reverse M_pro_L_c_exchange_reverse 0.000904 0.011614
M_ala_L_c_exchange_reverse M_ser_L_c_exchange_reverse 0.000977 0.011594
M_ala_L_c_exchange_reverse M_thr_L_c_exchange_reverse 0.000920 0.011609
M_ala_L_c_exchange_reverse M_trp_L_c_exchange_reverse 0.000974 0.011618
M_ala_L_c_exchange_reverse M_tyr_L_c_exchange_reverse 0.000997 0.011630
M_ala_L_c_exchange_reverse M_val_L_c_exchange_reverse 0.001087 0.011603
M_ala_L_c_exchange_reverse M_glc_D_c_exchange_reverse 0.001664 0.010979
M_ala_L_c_exchange_reverse M_o2_c_exchange_reverse 0.000990 0.011613
M_ala_L_c_exchange_reverse translation_initiation 0.000671 0.011644
M_ala_L_c_exchange_reverse transcriptional_initiation 0.000960 0.011613
M_arg_L_c_exchange_reverse M_asn_L_c_exchange_reverse 0.000800 0.004977
M_arg_L_c_exchange_reverse M_asp_L_c_exchange_reverse 0.000822 0.004973
M_arg_L_c_exchange_reverse M_cys_L_c_exchange_reverse 0.000804 0.004976
M_arg_L_c_exchange_reverse M_glu_L_c_exchange_reverse 0.000743 0.004971
M_arg_L_c_exchange_reverse M_gln_L_c_exchange_reverse 0.000836 0.004951
M_arg_L_c_exchange_reverse M_gly_L_c_exchange_reverse 0.000812 0.004977
M_arg_L_c_exchange_reverse M_ile_L_c_exchange_reverse 0.000809 0.004976
M_arg_L_c_exchange_reverse M_leu_L_c_exchange_reverse 0.000808 0.004977
M_arg_L_c_exchange_reverse M_his_L_c_exchange_reverse 0.000804 0.004979
M_arg_L_c_exchange_reverse M_lys_L_c_exchange_reverse 0.000786 0.004974
