Parameter S1 S1_conf ST ST_conf
M_ala_L_c_exchange_reverse -0.014462 0.029689 0.000787 0.000482
M_arg_L_c_exchange_reverse -0.002585 0.019155 0.000322 0.000132
M_asn_L_c_exchange_reverse -0.009671 0.025519 0.000553 0.000166
M_asp_L_c_exchange_reverse 0.024138 0.041892 0.001691 0.001184
M_cys_L_c_exchange_reverse -0.009386 0.044366 0.001813 0.000549
M_glu_L_c_exchange_reverse -0.028740 0.060542 0.003237 0.001890
M_gln_L_c_exchange_reverse 0.016856 0.103776 0.010715 0.008676
M_gly_L_c_exchange_reverse 0.003685 0.017668 0.000253 0.000177
M_ile_L_c_exchange_reverse 0.012090 0.024003 0.000547 0.000324
M_leu_L_c_exchange_reverse -0.020273 0.125955 0.013474 0.006178
M_his_L_c_exchange_reverse 0.007344 0.201165 0.033095 0.009516
M_lys_L_c_exchange_reverse 0.006603 0.056988 0.002769 0.000845
M_met_L_c_exchange_reverse 0.001755 0.017364 0.000270 0.000161
M_phe_L_c_exchange_reverse 0.191006 0.391444 0.134598 0.037039
M_pro_L_c_exchange_reverse -0.006813 0.010934 0.000099 0.000065
M_ser_L_c_exchange_reverse 0.022838 0.109917 0.010130 0.002748
M_thr_L_c_exchange_reverse -0.003969 0.041398 0.001568 0.000623
M_trp_L_c_exchange_reverse -0.011258 0.071851 0.005014 0.001666
M_tyr_L_c_exchange_reverse 0.015186 0.184234 0.029337 0.008786
M_val_L_c_exchange_reverse 0.019778 0.079148 0.005617 0.002309
M_glc_D_c_exchange_reverse 0.576642 0.725895 0.438902 0.106184
M_o2_c_exchange_reverse -0.026848 0.038079 0.001328 0.002254
translation_initiation 0.289054 0.405536 0.320239 0.186692
transcriptional_initiation 0.000000 0.000000 0.000000 0.000000

Parameter_1 Parameter_2 S2 S2_conf
M_ala_L_c_exchange_reverse M_arg_L_c_exchange_reverse 0.020873 0.053656
M_ala_L_c_exchange_reverse M_asn_L_c_exchange_reverse 0.020884 0.053650
M_ala_L_c_exchange_reverse M_asp_L_c_exchange_reverse 0.021116 0.053669
M_ala_L_c_exchange_reverse M_cys_L_c_exchange_reverse 0.021049 0.053777
M_ala_L_c_exchange_reverse M_glu_L_c_exchange_reverse 0.020701 0.053578
M_ala_L_c_exchange_reverse M_gln_L_c_exchange_reverse 0.021027 0.053312
M_ala_L_c_exchange_reverse M_gly_L_c_exchange_reverse 0.020897 0.053660
M_ala_L_c_exchange_reverse M_ile_L_c_exchange_reverse 0.020833 0.053656
M_ala_L_c_exchange_reverse M_leu_L_c_exchange_reverse 0.020595 0.053835
M_ala_L_c_exchange_reverse M_his_L_c_exchange_reverse 0.021418 0.053675
M_ala_L_c_exchange_reverse M_lys_L_c_exchange_reverse 0.020991 0.053651
M_ala_L_c_exchange_reverse M_met_L_c_exchange_reverse 0.020884 0.053655
M_ala_L_c_exchange_reverse M_phe_L_c_exchange_reverse 0.020100 0.053086
M_ala_L_c_exchange_reverse M_pro_L_c_exchange_reverse 0.020901 0.053656
M_ala_L_c_exchange_reverse M_ser_L_c_exchange_reverse 0.020866 0.053525
M_ala_L_c_exchange_reverse M_thr_L_c_exchange_reverse 0.020873 0.053661
M_ala_L_c_exchange_reverse M_trp_L_c_exchange_reverse 0.020976 0.053835
M_ala_L_c_exchange_reverse M_tyr_L_c_exchange_reverse 0.021605 0.053475
M_ala_L_c_exchange_reverse M_val_L_c_exchange_reverse 0.020932 0.053589
M_ala_L_c_exchange_reverse M_glc_D_c_exchange_reverse 0.018547 0.052795
M_ala_L_c_exchange_reverse M_o2_c_exchange_reverse 0.020871 0.053656
M_ala_L_c_exchange_reverse translation_initiation 0.021415 0.053666
M_ala_L_c_exchange_reverse transcriptional_initiation 0.020878 0.053657
M_arg_L_c_exchange_reverse M_asn_L_c_exchange_reverse 0.005821 0.035843
M_arg_L_c_exchange_reverse M_asp_L_c_exchange_reverse 0.005839 0.035840
M_arg_L_c_exchange_reverse M_cys_L_c_exchange_reverse 0.005811 0.035837
M_arg_L_c_exchange_reverse M_glu_L_c_exchange_reverse 0.005891 0.035853
M_arg_L_c_exchange_reverse M_gln_L_c_exchange_reverse 0.005731 0.035851
M_arg_L_c_exchange_reverse M_gly_L_c_exchange_reverse 0.005801 0.035843
M_arg_L_c_exchange_reverse M_ile_L_c_exchange_reverse 0.005779 0.035851
M_arg_L_c_exchange_reverse M_leu_L_c_exchange_reverse 0.005762 0.035852
M_arg_L_c_exchange_reverse M_his_L_c_exchange_reverse 0.005581 0.035773
M_arg_L_c_exchange_reverse M_lys_L_c_exchange_reverse 0.005817 0.035846
M_arg_L_c_exchange_reverse M_met_L_c_exchange_reverse 0.005824 0.035854
M_arg_L_c_exchange_reverse M_phe_L_c_exchange_reverse 0.006159 0.035950
M_arg_L_c_exchange_reverse M_pro_L_c_exchange_reverse 0.005789 0.035844
M_arg_L_c_exchange_reverse M_ser_L_c_exchange_reverse 0.005493 0.035848
M_arg_L_c_exchange_reverse M_thr_L_c_exchange_reverse 0.005731 0.035835
M_arg_L_c_exchange_reverse M_trp_L_c_exchange_reverse 0.005815 0.035863
M_arg_L_c_exchange_reverse M_tyr_L_c_exchange_reverse 0.005891 0.035888
M_arg_L_c_exchange_reverse M_val_L_c_exchange_reverse 0.005782 0.035838
M_arg_L_c_exchange_reverse M_glc_D_c_exchange_reverse 0.005241 0.035930
M_arg_L_c_exchange_reverse M_o2_c_exchange_reverse 0.005799 0.035844
M_arg_L_c_exchange_reverse translation_initiation 0.005799 0.035844
M_arg_L_c_exchange_reverse transcriptional_initiation 0.005799 0.035844
M_asn_L_c_exchange_reverse M_asp_L_c_exchange_reverse 0.025629 0.054940
M_asn_L_c_exchange_reverse M_cys_L_c_exchange_reverse 0.025804 0.055056
M_asn_L_c_exchange_reverse M_glu_L_c_exchange_reverse 0.025688 0.054944
M_asn_L_c_exchange_reverse M_gln_L_c_exchange_reverse 0.025388 0.054948
M_asn_L_c_exchange_reverse M_gly_L_c_exchange_reverse 0.025692 0.054947
M_asn_L_c_exchange_reverse M_ile_L_c_exchange_reverse 0.025620 0.054947
M_asn_L_c_exchange_reverse M_leu_L_c_exchange_reverse 0.025585 0.054949
M_asn_L_c_exchange_reverse M_his_L_c_exchange_reverse 0.025247 0.054576
M_asn_L_c_exchange_reverse M_lys_L_c_exchange_reverse 0.025547 0.054829
M_asn_L_c_exchange_reverse M_met_L_c_exchange_reverse 0.025733 0.054948
M_asn_L_c_exchange_reverse M_phe_L_c_exchange_reverse 0.025197 0.055048
M_asn_L_c_exchange_reverse M_pro_L_c_exchange_reverse 0.025699 0.054945
M_asn_L_c_exchange_reverse M_ser_L_c_exchange_reverse 0.025783 0.054807
M_asn_L_c_exchange_reverse M_thr_L_c_exchange_reverse 0.025751 0.054941
M_asn_L_c_exchange_reverse M_trp_L_c_exchange_reverse 0.025687 0.054923
M_asn_L_c_exchange_reverse M_tyr_L_c_exchange_reverse 0.025732 0.055032
M_asn_L_c_exchange_reverse M_val_L_c_exchange_reverse 0.025602 0.054934
M_asn_L_c_exchange_reverse M_glc_D_c_exchange_reverse 0.024702 0.054775
M_asn_L_c_exchange_reverse M_o2_c_exchange_reverse 0.025614 0.054919
M_asn_L_c_exchange_reverse translation_initiation 0.025373 0.054961
M_asn_L_c_exchange_reverse transcriptional_initiation 0.025717 0.054948
M_asp_L_c_exchange_reverse M_cys_L_c_exchange_reverse -0.022934 0.113034
M_asp_L_c_exchange_reverse M_glu_L_c_exchange_reverse -0.023060 0.112685
M_asp_L_c_exchange_reverse M_gln_L_c_exchange_reverse -0.021792 0.112123
M_asp_L_c_exchange_reverse M_gly_L_c_exchange_reverse -0.023143 0.112677
M_asp_L_c_exchange_reverse M_ile_L_c_exchange_reverse -0.023239 0.112601
M_asp_L_c_exchange_reverse M_leu_L_c_exchange_reverse -0.023296 0.112591
M_asp_L_c_exchange_reverse M_his_L_c_exchange_reverse -0.023411 0.113469
M_asp_L_c_exchange_reverse M_lys_L_c_exchange_reverse -0.023800 0.112524
M_asp_L_c_exchange_reverse M_met_L_c_exchange_reverse -0.023069 0.112703
M_asp_L_c_exchange_reverse M_phe_L_c_exchange_reverse -0.023461 0.111583
M_asp_L_c_exchange_reverse M_pro_L_c_exchange_reverse -0.023133 0.112678
M_asp_L_c_exchange_reverse M_ser_L_c_exchange_reverse -0.022688 0.111107
M_asp_L_c_exchange_reverse M_thr_L_c_exchange_reverse -0.023000 0.112691
M_asp_L_c_exchange_reverse M_trp_L_c_exchange_reverse -0.023008 0.112731
M_asp_L_c_exchange_reverse M_tyr_L_c_exchange_reverse -0.022154 0.113617
M_asp_L_c_exchange_reverse M_val_L_c_exchange_reverse -0.024067 0.112549
M_asp_L_c_exchange_reverse M_glc_D_c_exchange_reverse -0.021831 0.099231
M_asp_L_c_exchange_reverse M_o2_c_exchange_reverse -0.023104 0.112674
M_asp_L_c_exchange_reverse translation_initiation -0.022938 0.112663
M_asp_L_c_exchange_reverse transcriptional_initiation -0.023145 0.112679
M_cys_L_c_exchange_reverse M_glu_L_c_exchange_reverse 0.019280 0.082676
M_cys_L_c_exchange_reverse M_gln_L_c_exchange_reverse 0.020048 0.082605
M_cys_L_c_exchange_reverse M_gly_L_c_exchange_reverse 0.019494 0.082679
M_cys_L_c_exchange_reverse M_ile_L_c_exchange_reverse 0.019460 0.082643
M_cys_L_c_exchange_reverse M_leu_L_c_exchange_reverse 0.019353 0.082716
M_cys_L_c_exchange_reverse M_his_L_c_exchange_reverse 0.019836 0.082655
M_cys_L_c_exchange_reverse M_lys_L_c_exchange_reverse 0.019301 0.082705
M_cys_L_c_exchange_reverse M_met_L_c_exchange_reverse 0.019488 0.082639
M_cys_L_c_exchange_reverse M_phe_L_c_exchange_reverse 0.019128 0.082778
M_cys_L_c_exchange_reverse M_pro_L_c_exchange_reverse 0.019459 0.082663
M_cys_L_c_exchange_reverse M_ser_L_c_exchange_reverse 0.020165 0.082779
M_cys_L_c_exchange_reverse M_thr_L_c_exchange_reverse 0.019584 0.082664
M_cys_L_c_exchange_reverse M_trp_L_c_exchange_reverse 0.019308 0.082675
M_cys_L_c_exchange_reverse M_tyr_L_c_exchange_reverse 0.019660 0.082604
