Parameter S1 S1_conf ST ST_conf
M_ala_L_c_exchange_reverse -0.000051 0.000081 0.000000 0.000000
M_arg_L_c_exchange_reverse 0.000233 0.002619 0.000067 0.000017
M_asn_L_c_exchange_reverse 0.000232 0.003254 0.000102 0.000021
M_asp_L_c_exchange_reverse 0.000027 0.000059 0.000000 0.000000
M_cys_L_c_exchange_reverse 0.000030 0.001004 0.000009 0.000003
M_glu_L_c_exchange_reverse -0.000152 0.002165 0.000041 0.000023
M_gln_L_c_exchange_reverse -0.000604 0.003571 0.000116 0.000037
M_gly_L_c_exchange_reverse 0.000149 0.000274 0.000001 0.000001
M_ile_L_c_exchange_reverse -0.000111 0.000423 0.000002 0.000001
M_leu_L_c_exchange_reverse 0.000074 0.007116 0.000472 0.000082
M_his_L_c_exchange_reverse 0.003824 0.016632 0.002595 0.000466
M_lys_L_c_exchange_reverse 0.000167 0.005275 0.000262 0.000048
M_met_L_c_exchange_reverse 0.000094 0.000175 0.000000 0.000001
M_phe_L_c_exchange_reverse 0.012967 0.034522 0.010392 0.001607
M_pro_L_c_exchange_reverse -0.000066 0.000652 0.000004 0.000001
M_ser_L_c_exchange_reverse 0.000298 0.004084 0.000159 0.000054
M_thr_L_c_exchange_reverse -0.000003 0.004348 0.000168 0.000031
M_trp_L_c_exchange_reverse 0.000456 0.006046 0.000320 0.000083
M_tyr_L_c_exchange_reverse 0.001539 0.015150 0.002093 0.000401
M_val_L_c_exchange_reverse -0.000208 0.002680 0.000062 0.000011
M_glc_D_c_exchange_reverse 0.390432 0.217934 0.385302 0.040089
M_o2_c_exchange_reverse 0.000078 0.000306 0.000001 0.000002
translation_initiation 0.605550 0.170650 0.614451 0.045154
transcriptional_initiation 0.000000 0.000000 0.000000 0.000000

Parameter_1 Parameter_2 S2 S2_conf
M_ala_L_c_exchange_reverse M_arg_L_c_exchange_reverse 0.000114 0.000148
M_ala_L_c_exchange_reverse M_asn_L_c_exchange_reverse 0.000114 0.000148
M_ala_L_c_exchange_reverse M_asp_L_c_exchange_reverse 0.000114 0.000148
M_ala_L_c_exchange_reverse M_cys_L_c_exchange_reverse 0.000114 0.000148
M_ala_L_c_exchange_reverse M_glu_L_c_exchange_reverse 0.000114 0.000148
M_ala_L_c_exchange_reverse M_gln_L_c_exchange_reverse 0.000114 0.000148
M_ala_L_c_exchange_reverse M_gly_L_c_exchange_reverse 0.000114 0.000148
M_ala_L_c_exchange_reverse M_ile_L_c_exchange_reverse 0.000114 0.000148
M_ala_L_c_exchange_reverse M_leu_L_c_exchange_reverse 0.000114 0.000148
M_ala_L_c_exchange_reverse M_his_L_c_exchange_reverse 0.000114 0.000148
M_ala_L_c_exchange_reverse M_lys_L_c_exchange_reverse 0.000114 0.000148
M_ala_L_c_exchange_reverse M_met_L_c_exchange_reverse 0.000114 0.000148
M_ala_L_c_exchange_reverse M_phe_L_c_exchange_reverse 0.000114 0.000148
M_ala_L_c_exchange_reverse M_pro_L_c_exchange_reverse 0.000114 0.000148
M_ala_L_c_exchange_reverse M_ser_L_c_exchange_reverse 0.000114 0.000148
M_ala_L_c_exchange_reverse M_thr_L_c_exchange_reverse 0.000114 0.000148
M_ala_L_c_exchange_reverse M_trp_L_c_exchange_reverse 0.000114 0.000148
M_ala_L_c_exchange_reverse M_tyr_L_c_exchange_reverse 0.000114 0.000148
M_ala_L_c_exchange_reverse M_val_L_c_exchange_reverse 0.000114 0.000148
M_ala_L_c_exchange_reverse M_glc_D_c_exchange_reverse 0.000108 0.000140
M_ala_L_c_exchange_reverse M_o2_c_exchange_reverse 0.000114 0.000148
M_ala_L_c_exchange_reverse translation_initiation 0.000114 0.000148
M_ala_L_c_exchange_reverse transcriptional_initiation 0.000114 0.000148
M_arg_L_c_exchange_reverse M_asn_L_c_exchange_reverse -0.000414 0.005230
M_arg_L_c_exchange_reverse M_asp_L_c_exchange_reverse -0.000414 0.005230
M_arg_L_c_exchange_reverse M_cys_L_c_exchange_reverse -0.000414 0.005230
M_arg_L_c_exchange_reverse M_glu_L_c_exchange_reverse -0.000414 0.005230
M_arg_L_c_exchange_reverse M_gln_L_c_exchange_reverse -0.000414 0.005230
M_arg_L_c_exchange_reverse M_gly_L_c_exchange_reverse -0.000414 0.005230
M_arg_L_c_exchange_reverse M_ile_L_c_exchange_reverse -0.000414 0.005230
M_arg_L_c_exchange_reverse M_leu_L_c_exchange_reverse -0.000415 0.005230
M_arg_L_c_exchange_reverse M_his_L_c_exchange_reverse -0.000415 0.005230
M_arg_L_c_exchange_reverse M_lys_L_c_exchange_reverse -0.000413 0.005230
M_arg_L_c_exchange_reverse M_met_L_c_exchange_reverse -0.000414 0.005230
M_arg_L_c_exchange_reverse M_phe_L_c_exchange_reverse -0.000409 0.005228
M_arg_L_c_exchange_reverse M_pro_L_c_exchange_reverse -0.000414 0.005230
M_arg_L_c_exchange_reverse M_ser_L_c_exchange_reverse -0.000414 0.005230
M_arg_L_c_exchange_reverse M_thr_L_c_exchange_reverse -0.000415 0.005230
M_arg_L_c_exchange_reverse M_trp_L_c_exchange_reverse -0.000414 0.005230
M_arg_L_c_exchange_reverse M_tyr_L_c_exchange_reverse -0.000415 0.005230
M_arg_L_c_exchange_reverse M_val_L_c_exchange_reverse -0.000415 0.005230
M_arg_L_c_exchange_reverse M_glc_D_c_exchange_reverse -0.000139 0.005302
