Parameter S1 S1_conf ST ST_conf
M_ala_L_c_exchange_reverse 0.000022 0.000838 0.000014 0.000002
M_arg_L_c_exchange_reverse 0.000052 0.000959 0.000019 0.000004
M_asn_L_c_exchange_reverse 0.000073 0.001149 0.000029 0.000005
M_asp_L_c_exchange_reverse -0.000497 0.000988 0.000022 0.000008
M_cys_L_c_exchange_reverse 0.054583 0.071779 0.111077 0.007677
M_glu_L_c_exchange_reverse 0.076408 0.077093 0.131539 0.007915
M_gln_L_c_exchange_reverse 0.000127 0.001964 0.000085 0.000021
M_gly_L_c_exchange_reverse 0.000047 0.000093 0.000000 0.000000
M_ile_L_c_exchange_reverse 0.000016 0.000528 0.000006 0.000001
M_leu_L_c_exchange_reverse 0.000098 0.005124 0.000575 0.000084
M_his_L_c_exchange_reverse 0.002407 0.008006 0.001386 0.000212
M_lys_L_c_exchange_reverse 0.000394 0.003290 0.000236 0.000036
M_met_L_c_exchange_reverse 0.000021 0.000042 0.000000 0.000000
M_phe_L_c_exchange_reverse 0.010698 0.020733 0.010061 0.001226
M_pro_L_c_exchange_reverse -0.000001 0.000642 0.000009 0.000002
M_ser_L_c_exchange_reverse 0.073291 0.074010 0.123656 0.008096
M_thr_L_c_exchange_reverse -0.000193 0.002477 0.000133 0.000021
M_trp_L_c_exchange_reverse 0.000392 0.003644 0.000317 0.000072
M_tyr_L_c_exchange_reverse 0.001737 0.009570 0.002007 0.000306
M_val_L_c_exchange_reverse -0.000138 0.003994 0.000314 0.000042
M_glc_D_c_exchange_reverse 0.370311 0.136415 0.370195 0.019035
M_o2_c_exchange_reverse 0.020526 0.050219 0.058337 0.004587
translation_initiation 0.302668 0.087943 0.311312 0.035525
transcriptional_initiation 0.000000 0.000000 0.000000 0.000000

Parameter_1 Parameter_2 S2 S2_conf
M_ala_L_c_exchange_reverse M_arg_L_c_exchange_reverse -0.000020 0.001635
M_ala_L_c_exchange_reverse M_asn_L_c_exchange_reverse -0.000020 0.001635
M_ala_L_c_exchange_reverse M_asp_L_c_exchange_reverse -0.000020 0.001635
M_ala_L_c_exchange_reverse M_cys_L_c_exchange_reverse -0.000035 0.001636
M_ala_L_c_exchange_reverse M_glu_L_c_exchange_reverse -0.000075 0.001646
M_ala_L_c_exchange_reverse M_gln_L_c_exchange_reverse -0.000020 0.001635
M_ala_L_c_exchange_reverse M_gly_L_c_exchange_reverse -0.000020 0.001635
M_ala_L_c_exchange_reverse M_ile_L_c_exchange_reverse -0.000020 0.001635
M_ala_L_c_exchange_reverse M_leu_L_c_exchange_reverse -0.000021 0.001635
M_ala_L_c_exchange_reverse M_his_L_c_exchange_reverse -0.000020 0.001635
M_ala_L_c_exchange_reverse M_lys_L_c_exchange_reverse -0.000020 0.001635
M_ala_L_c_exchange_reverse M_met_L_c_exchange_reverse -0.000020 0.001635
M_ala_L_c_exchange_reverse M_phe_L_c_exchange_reverse -0.000019 0.001635
M_ala_L_c_exchange_reverse M_pro_L_c_exchange_reverse -0.000020 0.001635
M_ala_L_c_exchange_reverse M_ser_L_c_exchange_reverse -0.000036 0.001634
M_ala_L_c_exchange_reverse M_thr_L_c_exchange_reverse -0.000020 0.001635
M_ala_L_c_exchange_reverse M_trp_L_c_exchange_reverse -0.000021 0.001635
M_ala_L_c_exchange_reverse M_tyr_L_c_exchange_reverse -0.000018 0.001635
M_ala_L_c_exchange_reverse M_val_L_c_exchange_reverse -0.000019 0.001635
M_ala_L_c_exchange_reverse M_glc_D_c_exchange_reverse -0.000019 0.001652
M_ala_L_c_exchange_reverse M_o2_c_exchange_reverse -0.000027 0.001635
