Parameter S1 S1_conf ST ST_conf
M_ala_L_c_exchange_reverse -0.000038 0.001176 0.000016 0.000002
M_arg_L_c_exchange_reverse 0.000250 0.002133 0.000054 0.000013
M_asn_L_c_exchange_reverse 0.000115 0.002049 0.000055 0.000010
M_asp_L_c_exchange_reverse 0.000015 0.000030 0.000000 0.000000
M_cys_L_c_exchange_reverse 0.013209 0.043581 0.024153 0.002273
M_glu_L_c_exchange_reverse 0.017716 0.051230 0.033003 0.002899
M_gln_L_c_exchange_reverse -0.002329 0.012962 0.002296 0.000239
M_gly_L_c_exchange_reverse 0.000182 0.000291 0.000001 0.000002
M_ile_L_c_exchange_reverse -0.000032 0.000647 0.000005 0.000001
M_leu_L_c_exchange_reverse -0.000003 0.005786 0.000424 0.000066
M_his_L_c_exchange_reverse 0.003697 0.013463 0.002321 0.000410
M_lys_L_c_exchange_reverse 0.000253 0.004929 0.000300 0.000053
M_met_L_c_exchange_reverse 0.000321 0.000376 0.000002 0.000002
M_phe_L_c_exchange_reverse 0.013655 0.028676 0.011298 0.001589
M_pro_L_c_exchange_reverse 0.000064 0.000685 0.000006 0.000001
M_ser_L_c_exchange_reverse 0.015026 0.044800 0.026548 0.002463
M_thr_L_c_exchange_reverse -0.000280 0.003440 0.000161 0.000027
M_trp_L_c_exchange_reverse 0.000643 0.005148 0.000334 0.000080
M_tyr_L_c_exchange_reverse 0.001814 0.012893 0.002298 0.000395
M_val_L_c_exchange_reverse -0.000577 0.004131 0.000206 0.000031
M_glc_D_c_exchange_reverse 0.424197 0.186071 0.421507 0.033811
M_o2_c_exchange_reverse 0.031799 0.054631 0.036650 0.003364
translation_initiation 0.473170 0.131817 0.483051 0.045009
transcriptional_initiation 0.000000 0.000000 0.000000 0.000000

Parameter_1 Parameter_2 S2 S2_conf
M_ala_L_c_exchange_reverse M_arg_L_c_exchange_reverse -0.000016 0.002318
M_ala_L_c_exchange_reverse M_asn_L_c_exchange_reverse -0.000016 0.002318
M_ala_L_c_exchange_reverse M_asp_L_c_exchange_reverse -0.000016 0.002318
M_ala_L_c_exchange_reverse M_cys_L_c_exchange_reverse -0.000023 0.002319
M_ala_L_c_exchange_reverse M_glu_L_c_exchange_reverse -0.000044 0.002320
M_ala_L_c_exchange_reverse M_gln_L_c_exchange_reverse -0.000018 0.002318
M_ala_L_c_exchange_reverse M_gly_L_c_exchange_reverse -0.000016 0.002318
M_ala_L_c_exchange_reverse M_ile_L_c_exchange_reverse -0.000016 0.002318
M_ala_L_c_exchange_reverse M_leu_L_c_exchange_reverse -0.000016 0.002318
M_ala_L_c_exchange_reverse M_his_L_c_exchange_reverse -0.000018 0.002319
M_ala_L_c_exchange_reverse M_lys_L_c_exchange_reverse -0.000016 0.002318
M_ala_L_c_exchange_reverse M_met_L_c_exchange_reverse -0.000016 0.002318
M_ala_L_c_exchange_reverse M_phe_L_c_exchange_reverse -0.000019 0.002319
M_ala_L_c_exchange_reverse M_pro_L_c_exchange_reverse -0.000016 0.002318
M_ala_L_c_exchange_reverse M_ser_L_c_exchange_reverse -0.000028 0.002317
M_ala_L_c_exchange_reverse M_thr_L_c_exchange_reverse -0.000016 0.002318
M_ala_L_c_exchange_reverse M_trp_L_c_exchange_reverse -0.000017 0.002318
M_ala_L_c_exchange_reverse M_tyr_L_c_exchange_reverse -0.000014 0.002318
M_ala_L_c_exchange_reverse M_val_L_c_exchange_reverse -0.000015 0.002318
M_ala_L_c_exchange_reverse M_glc_D_c_exchange_reverse -0.000022 0.002336
M_ala_L_c_exchange_reverse M_o2_c_exchange_reverse -0.000014 0.002321
M_ala_L_c_exchange_reverse translation_initiation -0.000030 0.002323
M_ala_L_c_exchange_reverse transcriptional_initiation -0.000016 0.002318
M_arg_L_c_exchange_reverse M_asn_L_c_exchange_reverse -0.000310 0.004255
M_arg_L_c_exchange_reverse M_asp_L_c_exchange_reverse -0.000310 0.004255
M_arg_L_c_exchange_reverse M_cys_L_c_exchange_reverse -0.000298 0.004256
M_arg_L_c_exchange_reverse M_glu_L_c_exchange_reverse -0.000284 0.004262
M_arg_L_c_exchange_reverse M_gln_L_c_exchange_reverse -0.000302 0.004255
M_arg_L_c_exchange_reverse M_gly_L_c_exchange_reverse -0.000310 0.004255
M_arg_L_c_exchange_reverse M_ile_L_c_exchange_reverse -0.000310 0.004255
M_arg_L_c_exchange_reverse M_leu_L_c_exchange_reverse -0.000311 0.004255
M_arg_L_c_exchange_reverse M_his_L_c_exchange_reverse -0.000311 0.004255
M_arg_L_c_exchange_reverse M_lys_L_c_exchange_reverse -0.000309 0.004255
M_arg_L_c_exchange_reverse M_met_L_c_exchange_reverse -0.000310 0.004255
M_arg_L_c_exchange_reverse M_phe_L_c_exchange_reverse -0.000304 0.004254
M_arg_L_c_exchange_reverse M_pro_L_c_exchange_reverse -0.000310 0.004255
M_arg_L_c_exchange_reverse M_ser_L_c_exchange_reverse -0.000305 0.004259
M_arg_L_c_exchange_reverse M_thr_L_c_exchange_reverse -0.000310 0.004255
M_arg_L_c_exchange_reverse M_trp_L_c_exchange_reverse -0.000310 0.004255
M_arg_L_c_exchange_reverse M_tyr_L_c_exchange_reverse -0.000310 0.004255
M_arg_L_c_exchange_reverse M_val_L_c_exchange_reverse -0.000311 0.004255
M_arg_L_c_exchange_reverse M_glc_D_c_exchange_reverse -0.000059 0.004312
M_arg_L_c_exchange_reverse M_o2_c_exchange_reverse -0.000321 0.004265
M_arg_L_c_exchange_reverse translation_initiation -0.000351 0.004256
M_arg_L_c_exchange_reverse transcriptional_initiation -0.000310 0.004255
M_asn_L_c_exchange_reverse M_asp_L_c_exchange_reverse 0.000010 0.004065
M_asn_L_c_exchange_reverse M_cys_L_c_exchange_reverse 0.000015 0.004063
M_asn_L_c_exchange_reverse M_glu_L_c_exchange_reverse 0.000028 0.004071
M_asn_L_c_exchange_reverse M_gln_L_c_exchange_reverse 0.000003 0.004067
M_asn_L_c_exchange_reverse M_gly_L_c_exchange_reverse 0.000010 0.004065
M_asn_L_c_exchange_reverse M_ile_L_c_exchange_reverse 0.000010 0.004065
M_asn_L_c_exchange_reverse M_leu_L_c_exchange_reverse 0.000010 0.004065
M_asn_L_c_exchange_reverse M_his_L_c_exchange_reverse 0.000009 0.004065
M_asn_L_c_exchange_reverse M_lys_L_c_exchange_reverse 0.000012 0.004066
M_asn_L_c_exchange_reverse M_met_L_c_exchange_reverse 0.000010 0.004065
M_asn_L_c_exchange_reverse M_phe_L_c_exchange_reverse 0.000001 0.004064
