Parameter S1 S1_conf ST ST_conf
M_ala_L_c_exchange_reverse -0.014462 0.031316 0.000787 0.000485
M_arg_L_c_exchange_reverse -0.002585 0.018681 0.000322 0.000128
M_asn_L_c_exchange_reverse -0.009671 0.026183 0.000553 0.000160
M_asp_L_c_exchange_reverse 0.024138 0.042174 0.001691 0.001282
M_cys_L_c_exchange_reverse -0.009386 0.044936 0.001813 0.000560
M_glu_L_c_exchange_reverse -0.028740 0.062509 0.003237 0.001829
M_gln_L_c_exchange_reverse 0.016856 0.102628 0.010715 0.008746
M_gly_L_c_exchange_reverse 0.003685 0.017200 0.000253 0.000178
M_ile_L_c_exchange_reverse 0.012090 0.024286 0.000547 0.000300
M_leu_L_c_exchange_reverse -0.020273 0.120070 0.013474 0.005704
M_his_L_c_exchange_reverse 0.007344 0.200403 0.033095 0.009689
M_lys_L_c_exchange_reverse 0.006603 0.054783 0.002769 0.000854
M_met_L_c_exchange_reverse 0.001755 0.017191 0.000270 0.000166
M_phe_L_c_exchange_reverse 0.191006 0.400155 0.134598 0.035734
M_pro_L_c_exchange_reverse -0.006813 0.011544 0.000099 0.000062
M_ser_L_c_exchange_reverse 0.022838 0.108847 0.010130 0.002749
M_thr_L_c_exchange_reverse -0.003969 0.041453 0.001568 0.000603
M_trp_L_c_exchange_reverse -0.011258 0.077761 0.005014 0.001580
M_tyr_L_c_exchange_reverse 0.015186 0.183208 0.029337 0.008331
M_val_L_c_exchange_reverse 0.019778 0.080713 0.005617 0.002184
M_glc_D_c_exchange_reverse 0.576642 0.745594 0.438902 0.107737
M_o2_c_exchange_reverse -0.026848 0.040138 0.001328 0.002345
translation_initiation 0.289054 0.419238 0.320239 0.187023
transcriptional_initiation 0.000000 0.000000 0.000000 0.000000

Parameter_1 Parameter_2 S2 S2_conf
M_ala_L_c_exchange_reverse M_arg_L_c_exchange_reverse 0.020873 0.056192
M_ala_L_c_exchange_reverse M_asn_L_c_exchange_reverse 0.020884 0.056193
M_ala_L_c_exchange_reverse M_asp_L_c_exchange_reverse 0.021116 0.056218
M_ala_L_c_exchange_reverse M_cys_L_c_exchange_reverse 0.021049 0.056295
M_ala_L_c_exchange_reverse M_glu_L_c_exchange_reverse 0.020701 0.056148
M_ala_L_c_exchange_reverse M_gln_L_c_exchange_reverse 0.021027 0.055693
M_ala_L_c_exchange_reverse M_gly_L_c_exchange_reverse 0.020897 0.056195
M_ala_L_c_exchange_reverse M_ile_L_c_exchange_reverse 0.020833 0.056191
M_ala_L_c_exchange_reverse M_leu_L_c_exchange_reverse 0.020595 0.056393
M_ala_L_c_exchange_reverse M_his_L_c_exchange_reverse 0.021418 0.056176
M_ala_L_c_exchange_reverse M_lys_L_c_exchange_reverse 0.020991 0.056194
M_ala_L_c_exchange_reverse M_met_L_c_exchange_reverse 0.020884 0.056195
M_ala_L_c_exchange_reverse M_phe_L_c_exchange_reverse 0.020100 0.055787
M_ala_L_c_exchange_reverse M_pro_L_c_exchange_reverse 0.020901 0.056193
M_ala_L_c_exchange_reverse M_ser_L_c_exchange_reverse 0.020866 0.056023
M_ala_L_c_exchange_reverse M_thr_L_c_exchange_reverse 0.020873 0.056207
M_ala_L_c_exchange_reverse M_trp_L_c_exchange_reverse 0.020976 0.056352
M_ala_L_c_exchange_reverse M_tyr_L_c_exchange_reverse 0.021605 0.056094
M_ala_L_c_exchange_reverse M_val_L_c_exchange_reverse 0.020932 0.056145
M_ala_L_c_exchange_reverse M_glc_D_c_exchange_reverse 0.018547 0.055700
M_ala_L_c_exchange_reverse M_o2_c_exchange_reverse 0.020871 0.056194
M_ala_L_c_exchange_reverse translation_initiation 0.021415 0.056201
M_ala_L_c_exchange_reverse transcriptional_initiation 0.020878 0.056194
M_arg_L_c_exchange_reverse M_asn_L_c_exchange_reverse 0.005821 0.035452
M_arg_L_c_exchange_reverse M_asp_L_c_exchange_reverse 0.005839 0.035454
M_arg_L_c_exchange_reverse M_cys_L_c_exchange_reverse 0.005811 0.035437
M_arg_L_c_exchange_reverse M_glu_L_c_exchange_reverse 0.005891 0.035464
M_arg_L_c_exchange_reverse M_gln_L_c_exchange_reverse 0.005731 0.035474
M_arg_L_c_exchange_reverse M_gly_L_c_exchange_reverse 0.005801 0.035452
M_arg_L_c_exchange_reverse M_ile_L_c_exchange_reverse 0.005779 0.035460
M_arg_L_c_exchange_reverse M_leu_L_c_exchange_reverse 0.005762 0.035491
M_arg_L_c_exchange_reverse M_his_L_c_exchange_reverse 0.005581 0.035403
M_arg_L_c_exchange_reverse M_lys_L_c_exchange_reverse 0.005817 0.035433
M_arg_L_c_exchange_reverse M_met_L_c_exchange_reverse 0.005824 0.035459
M_arg_L_c_exchange_reverse M_phe_L_c_exchange_reverse 0.006159 0.035555
M_arg_L_c_exchange_reverse M_pro_L_c_exchange_reverse 0.005789 0.035454
M_arg_L_c_exchange_reverse M_ser_L_c_exchange_reverse 0.005493 0.035455
M_arg_L_c_exchange_reverse M_thr_L_c_exchange_reverse 0.005731 0.035454
M_arg_L_c_exchange_reverse M_trp_L_c_exchange_reverse 0.005815 0.035467
M_arg_L_c_exchange_reverse M_tyr_L_c_exchange_reverse 0.005891 0.035421
M_arg_L_c_exchange_reverse M_val_L_c_exchange_reverse 0.005782 0.035445
M_arg_L_c_exchange_reverse M_glc_D_c_exchange_reverse 0.005241 0.035737
M_arg_L_c_exchange_reverse M_o2_c_exchange_reverse 0.005799 0.035454
M_arg_L_c_exchange_reverse translation_initiation 0.005799 0.035454
M_arg_L_c_exchange_reverse transcriptional_initiation 0.005799 0.035454
M_asn_L_c_exchange_reverse M_asp_L_c_exchange_reverse 0.025629 0.055822
M_asn_L_c_exchange_reverse M_cys_L_c_exchange_reverse 0.025804 0.055911
M_asn_L_c_exchange_reverse M_glu_L_c_exchange_reverse 0.025688 0.055820
M_asn_L_c_exchange_reverse M_gln_L_c_exchange_reverse 0.025388 0.055824
M_asn_L_c_exchange_reverse M_gly_L_c_exchange_reverse 0.025692 0.055822
M_asn_L_c_exchange_reverse M_ile_L_c_exchange_reverse 0.025620 0.055830
M_asn_L_c_exchange_reverse M_leu_L_c_exchange_reverse 0.025585 0.055786
M_asn_L_c_exchange_reverse M_his_L_c_exchange_reverse 0.025247 0.055532
M_asn_L_c_exchange_reverse M_lys_L_c_exchange_reverse 0.025547 0.055710
M_asn_L_c_exchange_reverse M_met_L_c_exchange_reverse 0.025733 0.055820
